news_id,source_ticker,time,ticker,relevance_score,ticker_sentiment_score,ticker_sentiment_label
,IBM,2023-01-04 05:30:00,WFC,0.105372,0.149272,Neutral
,IBM,2023-01-04 05:30:00,IBM,0.052801,-0.01202,Neutral
,IBM,2023-01-04 07:33:45,RSSS,0.024724,0.368963,Bullish
,IBM,2023-01-04 07:33:45,IBM,0.049424,0.197131,Somewhat-Bullish
,IBM,2023-01-05 08:00:00,AMGN,0.239698,0.116685,Neutral
,IBM,2023-01-05 08:00:00,SPGI,0.081001,-0.01766,Neutral
,IBM,2023-01-05 08:00:00,CVX,0.31583,0.145026,Neutral
,IBM,2023-01-05 08:00:00,KO,0.16117,0.036665,Neutral
,IBM,2023-01-05 08:00:00,VZ,0.16117,-0.031853,Neutral
,IBM,2023-01-05 08:00:00,AMGN,0.239698,0.116685,Neutral
,IBM,2023-01-05 08:00:00,IBM,0.239698,0.116685,Neutral
,IBM,2023-01-05 08:00:00,IBM,0.239698,0.116685,Neutral
,IBM,2023-01-05 08:00:00,VZ,0.16117,-0.031853,Neutral
,IBM,2023-01-05 08:00:00,KO,0.16117,0.036665,Neutral
,IBM,2023-01-05 08:00:00,CVX,0.31583,0.145026,Neutral
,IBM,2023-01-05 08:00:00,SPGI,0.081001,-0.01766,Neutral
,IBM,2023-02-01 04:30:00,CSCO,0.078099,0.01827,Neutral
,IBM,2023-02-01 04:30:00,INTU,0.039096,0.040308,Neutral
,IBM,2023-02-01 04:30:00,HTHIF,0.039096,0.040308,Neutral
,IBM,2023-02-01 04:30:00,GOOG,0.078099,0.01827,Neutral
,IBM,2023-02-01 04:30:00,TMICF,0.039096,0.040308,Neutral
,IBM,2023-02-01 04:30:00,MSFT,0.039096,0.040308,Neutral
,IBM,2023-02-01 04:30:00,IBM,0.039096,0.040308,Neutral
,IBM,2023-02-01 04:30:00,HPQ,0.039096,0.040308,Neutral
,IBM,2023-02-01 04:30:00,INTC,0.039096,0.040308,Neutral
,IBM,2023-02-01 04:30:00,HPE,0.039096,0.040308,Neutral
,IBM,2023-02-01 04:30:00,THLEF,0.039096,0.040308,Neutral
,IBM,2023-02-01 04:30:00,DELL,0.078099,-0.017308,Neutral
,IBM,2023-02-01 10:00:00,LUV,0.208166,-0.330594,Somewhat-Bearish
,IBM,2023-02-01 10:00:00,GWH,0.139669,-0.011742,Neutral
,IBM,2023-02-01 10:00:00,IBM,0.139669,0.011634,Neutral
,IBM,2023-02-02 05:45:00,IBM,0.628473,0.044445,Neutral
,IBM,2023-02-02 07:11:00,T,0.043738,0.069712,Neutral
,IBM,2023-02-02 07:11:00,CRUS,0.087344,0.073767,Neutral
,IBM,2023-02-02 07:11:00,MSFT,0.130689,0.059403,Neutral
,IBM,2023-02-02 07:11:00,AMT,0.087344,0.07336,Neutral
,IBM,2023-02-02 07:11:00,NXPI,0.087344,0.07336,Neutral
,IBM,2023-02-02 07:11:00,ADI,0.087344,0.07336,Neutral
,IBM,2023-02-02 07:11:00,VZ,0.087344,0.07336,Neutral
,IBM,2023-02-02 07:11:00,NVDA,0.087344,0.073767,Neutral
,IBM,2023-02-02 07:11:00,IBM,0.130689,0.059403,Neutral
