news_id,source_ticker,time,ticker,relevance_score,ticker_sentiment_score,ticker_sentiment_label
,MSFT,2022-12-31 19:30:05,MSFT,0.077593,0.163411,Somewhat-Bullish
,MSFT,2022-12-31 20:20:34,MSFT,0.041466,-0.015593,Neutral
,MSFT,2022-12-31 20:20:34,LUV,0.123951,-0.0156,Neutral
,MSFT,2022-12-31 21:00:00,GOOG,0.114137,-0.032078,Neutral
,MSFT,2022-12-31 21:00:00,MSFT,0.114137,-0.032078,Neutral
,MSFT,2022-12-31 22:00:28,META,0.013604,0.011411,Neutral
,MSFT,2022-12-31 22:00:28,CURN,0.006802,0.01264,Neutral
,MSFT,2022-12-31 22:00:28,MSFT,0.006802,0.027689,Neutral
,MSFT,2022-12-31 22:00:28,NVDA,0.006802,-0.081333,Neutral
,MSFT,2022-12-31 22:00:28,AWON,0.006802,-0.04817,Neutral
,MSFT,2022-12-31 22:00:28,TSLA,0.040795,0.074613,Neutral
,MSFT,2022-12-31 22:46:06,UPS,0.215415,0.223273,Somewhat-Bullish
,MSFT,2022-12-31 22:46:06,SPGI,0.027257,-0.032548,Neutral
,MSFT,2022-12-31 22:46:06,MSFT,0.367606,0.154093,Somewhat-Bullish
,MSFT,2023-01-01 06:40:00,DOCN,0.618922,0.1959,Somewhat-Bullish
,MSFT,2023-01-01 06:40:00,GOOG,0.116067,-0.067015,Neutral
,MSFT,2023-01-01 06:40:00,MSFT,0.058188,-0.092036,Neutral
,MSFT,2023-01-01 07:53:23,NYT,0.020352,-0.108419,Neutral
,MSFT,2023-01-01 07:53:23,MSFT,0.020352,-0.012585,Neutral
,MSFT,2023-01-01 07:53:23,FUJHF,0.020352,-0.071928,Neutral
,MSFT,2023-01-01 07:53:23,SPGI,0.020352,0.034335,Neutral
,MSFT,2023-01-01 07:53:23,TSLA,0.779232,0.151407,Somewhat-Bullish
,MSFT,2023-01-01 08:00:00,MSFT,0.037622,-0.001982,Neutral
,MSFT,2023-01-01 08:00:00,FVRR,0.428632,0.221717,Somewhat-Bullish
,MSFT,2023-01-01 08:00:00,TOST,0.362858,0.044349,Neutral
,MSFT,2023-01-01 08:00:00,AMZN,0.037622,-0.001982,Neutral
,MSFT,2023-01-01 08:00:00,GOOG,0.18645,0.071973,Neutral
,MSFT,2023-01-01 08:07:00,CRYPTO:ETH,0.16849,0.200628,Somewhat-Bullish
,MSFT,2023-01-01 08:07:00,CRYPTO:BTC,0.672283,0.161882,Somewhat-Bullish
,MSFT,2023-01-01 08:07:00,TSLA,0.033942,-0.053552,Neutral
,MSFT,2023-01-01 08:07:00,NFLX,0.033942,-0.053552,Neutral
,MSFT,2023-01-01 08:07:00,MSFT,0.033942,-0.053552,Neutral
,MSFT,2023-01-01 08:07:00,GOOG,0.033942,-0.053552,Neutral
,MSFT,2023-01-01 10:00:00,APE,0.086556,0.105866,Neutral
,MSFT,2023-01-01 10:00:00,GOOG,0.086556,0.242501,Somewhat-Bullish
,MSFT,2023-01-01 10:00:00,NFLX,0.086556,0.242501,Somewhat-Bullish
,MSFT,2023-01-01 10:00:00,MSFT,0.172097,0.172675,Somewhat-Bullish
,MSFT,2023-01-01 12:19:00,MSFT,0.195419,0.103732,Neutral
,MSFT,2023-01-01 12:19:00,MDNDF,0.049322,0.088984,Neutral
