id,publish_time,title,article_url,ticker,publisher,description,keywords
,2023-01-04 13:48:00,CommVault Systems Stock Meets 80-Plus Relative Strength Rating Benchmark,https://www.investors.com/news/technology/commvault-systems-stock-meets-80-plus-relative-strength-rating-benchmark/,ORCL,Investors Business Daily,CommVault Systems Stock Meets 80-Plus Relative Strength Rating ... Investor's Business Daily ...,"Earnings,Technology,Financial Markets"
,2023-01-04 14:30:24,DELL: The 4 Best Tech Stocks to Watch in 2023,https://stocknews.com/news/dell-caj-arw-cts-the-4-best-tech-stocks-to-watch-in-2023/,ORCL,Stocknews.com,DELL: The 4 Best Tech Stocks to Watch in ...,"Economy - Monetary,Life Sciences,Retail & Wholesale,Financial Markets,Earnings,Technology"
,2023-01-05 08:11:15,"Cloud OSS BSS Market Revenue to Cross $55.73 Billion, Globally, by 2030 - Premium Report by The Insight Partners",https://www.benzinga.com/pressreleases/23/01/g30292523/cloud-oss-bss-market-revenue-to-cross-55-73-billion-globally-by-2030-premium-report-by-the-insight,ORCL,Benzinga,"New York, Jan. 05, 2023 ( GLOBE NEWSWIRE ) -- According to The Insight Partners, ""Cloud OSS BSS Market Size, Share, Growth Trends and Global Forecast to 2030 - COVID-19 Impact and Global Analysis By Solution [OSS ( Network Management & Orchestration, Resource Management, Analytics & Assurance, ...","Retail & Wholesale,Manufacturing,Earnings,Technology"
,2023-01-05 08:25:46,"Cloud Orchestration Market Size to Hit $53.40 Billion, by 2028 - Lead by High Adoption of Cloud-based Solution and Services | Comprehensive Study by The Insight Partners",https://www.benzinga.com/pressreleases/23/01/g30292781/cloud-orchestration-market-size-to-hit-53-40-billion-by-2028-lead-by-high-adoption-of-cloud-based-,ORCL,Benzinga,"New York, Jan. 05, 2023 ( GLOBE NEWSWIRE ) -- According to The Insight Partners, ""Cloud Orchestration Market Size, Share, Growth, Trends and Global Forecast to 2028 - COVID-19 Impact and Global Analysis by Service ( Reporting & Analytics, Cloud Service Automation, Support & Maintenance, Training ...","Technology,Retail & Wholesale,Financial Markets"
,2023-01-05 14:13:00,Cloud Storage Dropbox Stock Sees IBD RS Rating Climb To 73,https://www.investors.com/news/technology/clolud-storage-dropbox-stock-sees-ibd-rs-rating-climb-to-73/,ORCL,Investors Business Daily,"Dropbox ( DBX ) stock saw a welcome improvement to its Relative Strength ( RS ) Rating on Thursday, with an upgrade from 70 to 73. When you're researching the best stocks to buy and watch, be sure to pay attention to relative price strength.","Earnings,Technology,Financial Markets"
,2023-02-01 13:12:00,Nova Scotia and Oracle Cerner Begin a New Era in Healthcare,https://www.benzinga.com/pressreleases/23/02/n30673504/nova-scotia-and-oracle-cerner-begin-a-new-era-in-healthcare,ORCL,Benzinga,"New 10-year agreement to provide more efficient, secure, timely access to patient information",Technology
,2023-02-01 13:55:24,ORCL: This Software Stock Is a No-Brainer Buy For 2023,https://stocknews.com/news/orcl-cvlt-prgs-ibex-this-software-stock-is-a-no-brainer-buy-for-2023/,ORCL,Stocknews.com,ORCL: This Software Stock Is a No-Brainer Buy For ...,"Earnings,Technology,Financial Markets"
,2023-02-01 17:45:19,Oracle  ( ORCL )  Outpaces Stock Market Gains: What You Should Know,https://www.zacks.com/stock/news/2047979/oracle-orcl-outpaces-stock-market-gains-what-you-should-know,ORCL,Zacks Commentary,"Oracle (ORCL) closed the most recent trading day at $90.05, moving +1.8% from the previous trading session.","Earnings,Technology,Financial Markets"
,2023-02-02 09:03:54,Revenue Management System Market Growth Report  ( $37.10 Billion )  is Driven by Integration of AI and ML Technologies - Exclusive Study by The Insight Partners,https://www.benzinga.com/pressreleases/23/02/g30688284/revenue-management-system-market-growth-report-37-10-billion-is-driven-by-integration-of-ai-and-ml,ORCL,Benzinga,"New York, Feb. 02, 2023 ( GLOBE NEWSWIRE ) -- According to The Insight Partners, ""Revenue Management System Market Size, Share, Growth and Global Forecast to 2028 - COVID-19 Impact and Global Analysis by Component ( Solution and Services ) , Deployment ( Cloud Based and On-Premise ) , and ...","Earnings,Technology"
,2023-02-02 15:30:00,Privileged access management solutions market to grow by 22.91% Y-O-Y from 2022 to 2023: Need for multi-factor authentication  ( MFA )  for privileged accounts will drive growth -Technavio,https://www.prnewswire.com/news-releases/privileged-access-management-solutions-market-to-grow-by-22-91-y-o-y-from-2022-to-2023-need-for-multi-factor-authentication-mfa-for-privileged-accounts-will-drive-growth--technavio-301735882.html,ORCL,PR Newswire,Privileged access management solutions market to grow by 22.91 ... PR ...,"Earnings,Technology,Manufacturing"
,2023-02-03 20:15:00,"E-learning market recorded 15.45% growth between 2021 and 2022; Insights on top countries such as the UK, among others - Technavio",https://www.prnewswire.com/news-releases/e-learning-market-recorded-15-45-growth-between-2021-and-2022-insights-on-top-countries-such-as-the-uk-among-others--technavio-301736047.html,ORCL,PR Newswire,E-learning market recorded 15.45% growth between 2021 and 2022 ... PR ...,"Real Estate & Construction,Technology,Manufacturing"
,2023-02-07 05:38:48,Trade Management Software Market Size to Surpass USD 2.38 Billion by 2029 | Report by Fortune Business Insights,https://www.benzinga.com/pressreleases/23/02/g30755298/trade-management-software-market-size-to-surpass-usd-2-38-billion-by-2029-report-by-fortune-busine,ORCL,Benzinga,"Pune, India, Feb. 07, 2023 ( GLOBE NEWSWIRE ) -- The global trade management software market size was valued at USD 1.11 Billion in 2021. The market is projected to grow from USD 1.19 Billion in 2022 to USD 2.38 Billion by 2029, exhibiting a CAGR of 10.5% during the forecast period.","Economy - Fiscal,Manufacturing,Energy & Transportation,Technology"
,2023-02-07 08:03:41,Enterprise High-Productivity Application Platform as a Service  ( HPaPaaS )  Market Worth USD 123.57 Billion By 2030 - Report by Market Research Future  ( MRFR ) ,https://www.benzinga.com/pressreleases/23/02/g30760608/enterprise-high-productivity-application-platform-as-a-service-hpapaas-market-worth-usd-123-57-bil,ORCL,Benzinga,"New York, US, Feb. 07, 2023 ( GLOBE NEWSWIRE ) -- According to a comprehensive research report by Market Research Future ( MRFR ) , Global Enterprise HPaPaaS Market Research Report By Component, By Deployment, By Organization Size, By Vertical market is poised to reach USD 123.57 BN by 2030, ...","Earnings,Technology,Financial Markets"
,2023-02-07 08:30:05,Here's How Much You'd Have If You Invested $1000 in Workday a Decade Ago,https://www.zacks.com/stock/news/2050859/heres-how-much-youd-have-if-you-invested-1000-in-workday-a-decade-ago,ORCL,Zacks Commentary,"Investing in certain stocks can pay off in the long run, especially if you hold on for a decade or more.","Earnings,Technology,Financial Markets"
,2023-02-07 13:01:00,Biden targets stock buybacks - do they help you as an investor?,https://www.marketwatch.com/story/why-bidens-state-of-the-union-address-will-mention-taxes-on-share-buybacks-11675792864,ORCL,MarketWatch,Do stock buybacks help you as an investor?,"Economy - Monetary,Retail & Wholesale,Financial Markets,Earnings,Energy & Transportation,Technology"
