,news_id,source_ticker,time,ticker,relevance_score,ticker_sentiment_score,ticker_sentiment_label
13385,,MSFT,2022-12-31 19:30:05,MSFT,0.077593,0.163411,Somewhat-Bullish
13386,,MSFT,2022-12-31 20:20:34,LUV,0.123951,-0.0156,Neutral
13387,,MSFT,2022-12-31 20:20:34,MSFT,0.041466,-0.015593,Neutral
10425,,NFLX,2022-12-31 20:57:25,NFLX,0.062271,-0.027487,Neutral
10424,,NFLX,2022-12-31 20:57:25,SNEJF,0.124164,0.200336,Somewhat-Bullish
13388,,MSFT,2022-12-31 21:00:00,GOOG,0.114137,-0.032078,Neutral
13389,,MSFT,2022-12-31 21:00:00,MSFT,0.114137,-0.032078,Neutral
0,,META,2022-12-31 22:00:28,TSLA,0.040795,0.074613,Neutral
13390,,MSFT,2022-12-31 22:00:28,MSFT,0.006802,0.027689,Neutral
13391,,MSFT,2022-12-31 22:00:28,CURN,0.006802,0.01264,Neutral
13393,,MSFT,2022-12-31 22:00:28,NVDA,0.006802,-0.081333,Neutral
13394,,MSFT,2022-12-31 22:00:28,AWON,0.006802,-0.04817,Neutral
13395,,MSFT,2022-12-31 22:00:28,META,0.013604,0.011411,Neutral
19175,,NVDA,2022-12-31 22:00:28,TSLA,0.040795,0.074613,Neutral
19176,,NVDA,2022-12-31 22:00:28,AWON,0.006802,-0.04817,Neutral
19177,,NVDA,2022-12-31 22:00:28,NVDA,0.006802,-0.081333,Neutral
19178,,NVDA,2022-12-31 22:00:28,MSFT,0.006802,0.027689,Neutral
13392,,MSFT,2022-12-31 22:00:28,TSLA,0.040795,0.074613,Neutral
19179,,NVDA,2022-12-31 22:00:28,CURN,0.006802,0.01264,Neutral
19180,,NVDA,2022-12-31 22:00:28,META,0.013604,0.011411,Neutral
1,,META,2022-12-31 22:00:28,MSFT,0.006802,0.027689,Neutral
2,,META,2022-12-31 22:00:28,CURN,0.006802,0.01264,Neutral
3,,META,2022-12-31 22:00:28,AWON,0.006802,-0.04817,Neutral
4,,META,2022-12-31 22:00:28,NVDA,0.006802,-0.081333,Neutral
5,,META,2022-12-31 22:00:28,META,0.013604,0.011411,Neutral
13396,,MSFT,2022-12-31 22:46:06,UPS,0.215415,0.223273,Somewhat-Bullish
13398,,MSFT,2022-12-31 22:46:06,MSFT,0.367606,0.154093,Somewhat-Bullish
13397,,MSFT,2022-12-31 22:46:06,SPGI,0.027257,-0.032548,Neutral
10427,,NFLX,2022-12-31 23:55:02,WBD,0.042571,0.052528,Neutral
10428,,NFLX,2022-12-31 23:55:02,NFLX,0.042571,0.127389,Neutral
10426,,NFLX,2022-12-31 23:55:02,NTDOF,0.042571,0.0,Neutral
7,,META,2023-01-01 00:00:00,GOOG,0.077593,0.03438,Neutral
10429,,NFLX,2023-01-01 00:00:00,META,0.154455,0.107128,Neutral
10431,,NFLX,2023-01-01 00:00:00,NFLX,0.038843,0.062818,Neutral
10430,,NFLX,2023-01-01 00:00:00,GOOG,0.077593,0.03438,Neutral
6,,META,2023-01-01 00:00:00,META,0.154455,0.107128,Neutral
8,,META,2023-01-01 00:00:00,NFLX,0.038843,0.062818,Neutral
10432,,NFLX,2023-01-01 03:34:04,SPOT,0.046907,0.0,Neutral
10434,,NFLX,2023-01-01 03:34:04,NFLX,0.046907,0.0,Neutral
10433,,NFLX,2023-01-01 03:34:04,CVS,0.046907,0.088802,Neutral
9,,META,2023-01-01 03:58:00,META,0.092569,0.0,Neutral
10438,,NFLX,2023-01-01 05:00:00,NFLX,0.053749,0.136037,Neutral
10436,,NFLX,2023-01-01 05:00:00,NFLX,0.053153,0.136022,Neutral
10435,,NFLX,2023-01-01 05:00:00,HRDI,0.053153,0.086058,Neutral
10437,,NFLX,2023-01-01 05:00:00,HRDI,0.053749,0.086135,Neutral
2728,,AAPL,2023-01-01 05:13:00,NFLX,0.05654,0.067098,Neutral
2726,,AAPL,2023-01-01 05:13:00,PARA,0.277118,0.222256,Somewhat-Bullish
10442,,NFLX,2023-01-01 05:13:00,BRK-A,0.112797,0.138191,Neutral
10441,,NFLX,2023-01-01 05:13:00,NFLX,0.05654,0.067098,Neutral
10440,,NFLX,2023-01-01 05:13:00,PARA,0.277118,0.222256,Somewhat-Bullish
10439,,NFLX,2023-01-01 05:13:00,AAPL,0.277118,0.187644,Somewhat-Bullish
2727,,AAPL,2023-01-01 05:13:00,AAPL,0.277118,0.187644,Somewhat-Bullish
2725,,AAPL,2023-01-01 05:13:00,BRK-A,0.112797,0.138191,Neutral
10,,META,2023-01-01 05:18:20,GOOG,0.096091,0.162401,Somewhat-Bullish
11,,META,2023-01-01 05:18:20,META,0.048133,0.140831,Neutral
7355,,AMZN,2023-01-01 05:26:00,TMDX,0.21258,0.379002,Bullish
7356,,AMZN,2023-01-01 05:26:00,INMD,0.21258,0.192922,Somewhat-Bullish
7357,,AMZN,2023-01-01 05:26:00,AMZN,0.263942,0.156249,Somewhat-Bullish
15,,META,2023-01-01 05:30:00,META,0.751437,0.466083,Bullish
