ticker,sentiment,sentiment_reasoning,news_id,source_ticker,time
ORCL,positive,"The article highlights Oracle's strong performance in the cloud computing and AI markets, with significant customer wins and plans for further data center expansion. The company's financial metrics, such as strong operating cash flow and free cash flow, are also seen as positive factors.",ac68640c4bd892c57b9769569b9021060c7803657044de59500abc6d3287ad44,IBM,2024-10-28 22:30:00
MSFT,neutral,"Microsoft is mentioned as a veteran tech-cloud giant, but the article does not provide any specific commentary on the company's performance or outlook.",ac68640c4bd892c57b9769569b9021060c7803657044de59500abc6d3287ad44,IBM,2024-10-28 22:30:00
IBM,neutral,"IBM is also mentioned as a veteran tech-cloud giant, but the article does not provide any specific commentary on the company's performance or outlook.",ac68640c4bd892c57b9769569b9021060c7803657044de59500abc6d3287ad44,IBM,2024-10-28 22:30:00
IBM,neutral,"The article lists IBM as one of the key players in the compliance automation tools market, but does not provide any specific details about the company's performance or market position.",e79a5e50fb91da1c095621f9151c02319747a2a0785edcaaabf2f46be3c991ec,IBM,2024-10-25 14:44:00
ACHR,neutral,"The article includes Archer as one of the key companies in the compliance automation tools market, but does not provide any further information about the company.",e79a5e50fb91da1c095621f9151c02319747a2a0785edcaaabf2f46be3c991ec,IBM,2024-10-25 14:44:00
ACHR.WS,neutral,"The article includes Archer as one of the key companies in the compliance automation tools market, but does not provide any further information about the company.",e79a5e50fb91da1c095621f9151c02319747a2a0785edcaaabf2f46be3c991ec,IBM,2024-10-25 14:44:00
IBM,positive,"IBM's AI-enabled software business, including its generative AI offerings, is its fastest growing segment and represents a significant portion of its revenue. The stock dip presents a buying opportunity as the company continues to focus on this high-growth area.",270d2e6f5e0851947f4203ea9b12003cddef813da4d954e84298c91d1f6f6993,IBM,2024-10-25 14:32:00
IBM,positive,"The article suggests that IBM's dividend payouts are expected to continue growing, with the company likely raising its quarterly dividend by at least $0.01 per share next year. This is due to the company's strong software sales and growing presence in enterprise AI services, which are driving its profitability and cash flow.",1a28db18f6d90d339c9f07f04e9922c89c7524acd1bb156768ed3581cfca1b62,IBM,2024-10-25 10:27:00
GM,positive,"GM surpassed Wall Street expectations and raised full-year guidance, causing a 10% stock price increase.",6912e30d6e1286e10f1623fe0cde648318e22d17e109b3d360b34645d00da465,IBM,2024-10-24 15:30:00
PM,positive,"PM beat Q3 expectations and raised EPS guidance, leading to a nearly 9% stock price increase.",6912e30d6e1286e10f1623fe0cde648318e22d17e109b3d360b34645d00da465,IBM,2024-10-24 15:30:00
VZ,negative,"VZ released disappointing results, leading to a downturn in the stock price.",6912e30d6e1286e10f1623fe0cde648318e22d17e109b3d360b34645d00da465,IBM,2024-10-24 15:30:00
LMT,negative,"LMT released disappointing results, leading to a downturn in the stock price.",6912e30d6e1286e10f1623fe0cde648318e22d17e109b3d360b34645d00da465,IBM,2024-10-24 15:30:00
TSLA,positive,"TSLA reported better-than-expected results on the bottom line, causing a 10% stock price increase.",6912e30d6e1286e10f1623fe0cde648318e22d17e109b3d360b34645d00da465,IBM,2024-10-24 15:30:00
