id,publish_time,title,article_url,ticker,publisher,description,keywords
,2023-03-13 17:45:21,Amazon  ( AMZN )  Gains As Market Dips: What You Should Know,https://www.zacks.com/stock/news/2065011/amazon-amzn-gains-as-market-dips-what-you-should-know,AMZN,Zacks Commentary,"Amazon (AMZN) closed at $92.43 in the latest trading session, marking a +1.87% move from the prior day.","Earnings,Retail & Wholesale,Financial Markets"
,2023-03-13 16:44:12,Rivian Stock Falls on Amazon News. It Might Be an Overreaction.,https://www.barrons.com/articles/rivian-stock-price-amazon-electric-truck-a1ea00f6,AMZN,Barrons,Rivian Stock Falls Because of Amazon News. It Might Be an Overreaction. ...,"Retail & Wholesale,Manufacturing"
,2023-03-13 15:06:41,"As Earthly Banks Crash, Satellite Leader Gets Galactic Support",https://www.investors.com/research/how-to-find-the-best-stocks-to-buy/iridium-stock-gets-galactic-support-as-earthly-banks-crash/,AMZN,Investors Business Daily,Iridium Stock Gets Galactic Support As Earthly Banks Crash ... Investor's Business Daily ...,"Retail & Wholesale,Financial Markets,Manufacturing,Earnings,Technology,Finance"
,2023-03-13 14:44:00,Why Amazon Stock Rallied Today,https://www.fool.com/investing/2023/03/13/why-amazon-stock-rallied-today/,AMZN,Motley Fool,The tech start-up world is on firmer footing following a harrowing weekend.,"Economy - Monetary,Retail & Wholesale,Financial Markets,Finance"
,2023-03-13 13:42:35,"What The 5 Best Streaming Services Are In 2023 - Amazon.com  ( NASDAQ:AMZN ) , Walt Disney  ( NYSE:DIS ) ",https://www.benzinga.com/general/entertainment/23/03/31321895/what-the-5-of-the-best-streaming-services-are-in-2023,AMZN,Benzinga,"As streaming technology continues to rapidly evolve, more and more people are turning to streaming services as their go-to source for entertainment. In 2023, there continues to be a wide variety of streaming services to choose from.",Retail & Wholesale
,2023-03-13 12:02:50,"Amazon In Talks With Rivian To Renegotiate Agreement For 100,000 Electric Vans",https://www.investors.com/news/technology/rivn-stock-rivian-renegotiates-deal-with-amzn/,AMZN,Investors Business Daily,RIVN Stock: Automaker Renegotiates Deal With Amazon Separator ... Investor's Business Daily ...,"Retail & Wholesale,Financial Markets,Manufacturing,Earnings,Technology"
,2023-03-13 11:36:59,"Why Tesla, Ford, and Rivian Shares All Sank on Monday",https://www.fool.com/investing/2023/03/13/why-tesla-ford-and-rivian-all-sank-monday/,AMZN,Motley Fool,It's not just fear from the banking sector driving shares lower today.,"Retail & Wholesale,Financial Markets,Manufacturing,Finance"
,2023-03-13 11:22:25,"Why Rivian Automotive  ( RIVN )  Shares Are Trading Lower Today - Rivian Automotive  ( NASDAQ:RIVN ) , Amazon.com  ( NASDAQ:AMZN ) ",https://www.benzinga.com/news/23/03/31319383/why-rivian-automotive-shares-are-trading-lower-today,AMZN,Benzinga,"Amazon.Com, Inc AMZN and Rivian Automotive, Inc RIVN are in discussions to eliminate the exclusivity part of their electric-van deal. Rivian could start selling to others after Amazon's order for 2023, the Wall Street Journal reports. Rivian needs to sell all of the vans it makes to Amazon under ...","Retail & Wholesale,Manufacturing"
,2023-03-13 10:42:12,"Best Ways to Invest $100,000",https://www.fool.com/investing/how-to-invest/how-to-invest-100k/,AMZN,Motley Fool,"Whether you received an unexpected windfall or saved it up over time, having $100,000 can help to put you on your way to long-term wealth if you invest it right.","Retail & Wholesale,Financial Markets,Manufacturing,Earnings,Technology,Finance"
,2023-03-13 10:17:00,Warner Bros. Discovery  ( WBD )  Begins Rebranded Director Program,https://www.zacks.com/stock/news/2064811/warner-bros-discovery-wbd-begins-rebranded-director-program,AMZN,Zacks Commentary,"Warner Bros. Discovery (WBD) announces new rebranded director program, submissions will be open till Mar 20.","Technology,Retail & Wholesale,Financial Markets"
,2023-03-13 10:01:00,Apple's  ( AAPL )  Animation Film Emerges Winner at 2023 Oscars,https://www.zacks.com/stock/news/2064797/apples-aapl-animation-film-emerges-winner-at-2023-oscars,AMZN,Zacks Commentary,"Apple's (AAPL) animation film The Boy, the Mole, the Fox and the Horse wins an Oscar for Best Animated Short Film.","Retail & Wholesale,Financial Markets,Earnings,Technology"
,2023-03-13 09:00:14,"Investors Heavily Search Amazon.com, Inc.  ( AMZN ) : Here is What You Need to Know",https://www.zacks.com/stock/news/2064648/investors-heavily-search-amazoncom-inc-amzn-here-is-what-you-need-to-know,AMZN,Zacks Commentary,"Zacks.com users have recently been watching Amazon (AMZN) quite a bit. Thus, it is worth knowing the facts that could determine the stock's prospects.","Earnings,Retail & Wholesale,Financial Markets"
,2023-03-13 07:07:00,Boeing JV Targets 3 Vulcan Launches in 2023. What Investors Should Know,https://www.fool.com/investing/2023/03/13/boeing-jv-targets-3-vulcan-launches-in-2023/,AMZN,Motley Fool,Never before in its history has the ULA joint venture between Boeing and Lockheed launched rockets as fast as this.,"Earnings,Retail & Wholesale,Manufacturing"
,2023-03-13 06:15:00,Should You Stop Investing Right Now? Here's Warren Buffett's Advice.,https://www.fool.com/investing/2023/03/13/stop-investing-now-warren-buffett-advice/,AMZN,Motley Fool,There seems to be no shortage of bad news these days. How does that affect your investing strategy?,"Retail & Wholesale,Financial Markets,Manufacturing,Earnings,Technology"
,2023-03-13 06:10:00,Missed Out on Amazon? My Best Cloud Stock to Buy and Hold.,https://www.fool.com/investing/2023/03/13/missed-out-on-amazon-my-best-cloud-stock-to-buy-an/,AMZN,Motley Fool,ServiceNow checks all of the right boxes for a long-term cloud play.,"Retail & Wholesale,Financial Markets,Earnings,Technology"
,2023-03-13 05:52:00,Prediction: These 3 Stocks Will Be in the Dow by 2030,https://www.fool.com/investing/2023/03/13/prediction-these-stocks-will-be-in-the-dow-by-2030/,AMZN,Motley Fool,Being added to the Dow Jones Industrial Average would just be another feather in the cap for these successful stocks.,"Life Sciences,Retail & Wholesale,Financial Markets,Technology"
,2023-03-12 14:11:49,2 Streaming Stocks For Your Watchlist This Week,https://stockmarket.com/featured/2-streaming-stocks-for-your-watchlist-this-week-2023-03-12,AMZN,StockMarket.com,"In recent years, the streaming industry has grown exponentially due to the rising demand for online content consumption. Streaming companies provide their subscribers with online access to TV shows, movies, and other forms of entertainment.","Retail & Wholesale,Financial Markets"
,2023-03-12 09:45:00,Is Now the Time to Go All-In on Rivian Stock?,https://www.fool.com/investing/2023/03/12/is-now-the-time-to-go-all-in-on-rivian-stock/,AMZN,Motley Fool,"This EV maker continues to disappoint investors, but it is taking the necessary steps needed to turn its business around.","IPO,Retail & Wholesale,Financial Markets,Manufacturing,Finance"
,2023-03-12 09:06:00,2 Top Bargain Stocks Ready for Bull Runs,https://www.fool.com/investing/2023/03/12/2-top-bargain-stocks-ready-for-a-bull-run/,AMZN,Motley Fool,"A volatile market is still chock-full of opportunity, but investors may need to be patient.","Retail & Wholesale,Financial Markets,Earnings,Technology"
,2023-03-12 08:38:00,Better AI Stock: Amazon vs. Nvidia,https://www.fool.com/investing/2023/03/12/better-ai-stock-amazon-vs-nvidia/,AMZN,Motley Fool,These companies will likely play significant roles in the development of AI.,"Retail & Wholesale,Financial Markets,Manufacturing,Earnings,Technology"
,2023-03-12 07:35:00,"Got $1,000? 5 Buffett Stocks to Buy and Hold Forever",https://www.fool.com/investing/2023/03/12/got-1000-5-buffett-stocks-to-buy-and-hold-forever/,AMZN,Motley Fool,These Buffett-backed stocks could help you crush the market over the long term.,"Energy & Transportation,Technology,Finance,Economy - Monetary,Retail & Wholesale,Financial Markets,Manufacturing,Earnings"
,2023-03-12 07:30:00,"Got $3,000? 3 Tech Stocks to Buy and Hold for the Long Term",https://www.fool.com/investing/2023/03/12/got-3000-3-tech-stocks-buy-and-hold-for-long-term/,AMZN,Motley Fool,Putting money into these three names looks like a good long-term bet.,"Retail & Wholesale,Financial Markets,Earnings,Technology"
,2023-03-12 07:10:00,1 Growth Stock Down 51% to Buy in 2023 and Hold Forever,https://www.fool.com/investing/2023/03/12/growth-stock-down-buy-in-2023-and-hold-forever/,AMZN,Motley Fool,Don't underestimate this tech giant.,"Economy - Monetary,Retail & Wholesale,Financial Markets,Technology"
,2023-03-12 06:45:00,Beat the Nasdaq? This Dividend Stock Has Actually Done It.,https://www.fool.com/investing/2023/03/12/beat-the-nasdaq-this-dividend-stock-has-actually-d/,AMZN,Motley Fool,Mid-America Apartment Communities has produced a total return that beats the tech-heavy index.,"Technology,Finance,Retail & Wholesale,Financial Markets,Manufacturing,Earnings,Real Estate & Construction"
,2023-03-12 05:30:00,Should You Really Buy Stocks Right Now? Here's What Warren Buffett Says.,https://www.fool.com/investing/2023/03/12/should-you-buy-stocks-heres-what-buffett-says/,AMZN,Motley Fool,Buffett has led Berkshire Hathaway to a compounded annual gain of nearly 20% over time.,"Economy - Monetary,Retail & Wholesale,Financial Markets,Manufacturing,Earnings,Finance"
,2023-03-11 15:25:26,"Bulls And Bears: Amazon, Meta, Tesla, And A Bitcoin Bull Says Dogecoin Should Be Worthless",https://www.benzinga.com/news/large-cap/23/03/31300511/benzinga-bulls-and-bears-amazon-meta-tesla-and-a-bitcoin-bull-says-dogecoin-should-be-worthless,AMZN,Benzinga,"Benzinga examined the prospects for many investors' favorite stocks over the last week - here's a look at some of our top stories. The markets took a tumble this week, triggered by hawkish comments by Fed Chair Jerome Powell, followed by the collapse of Silicon Valley Bank on Friday.","Retail & Wholesale,Financial Markets,Manufacturing,Technology,Finance,Blockchain"
,2023-03-11 10:40:05,Amazon's AI Push Should Not Be Overlooked,https://www.fool.com/investing/2023/03/11/amazons-ai-push-should-not-be-overlooked/,AMZN,Motley Fool,"While Microsoft and Google are getting most of the attention from this AI battle, investors should remember that Amazon is a serious contender.",Retail & Wholesale
,2023-03-11 09:54:00,Zoom's Growth Is Slowing but It's Not Done,https://www.fool.com/investing/2023/03/11/zooms-growth-is-slowing-but-its-not-done/,AMZN,Motley Fool,And Target is getting back on track.,"Retail & Wholesale,Financial Markets,Manufacturing,Earnings,Technology"
,2023-03-11 09:40:00,"This Unstoppable Stock Has Grown Sales by 1,092% in 5 Years. Here's Why It's a Buy Right Now",https://www.fool.com/investing/2023/03/11/this-unstoppable-stock-has-grown-sales-by-1092-in/,AMZN,Motley Fool,Sea Limited might finally be converting its fast-paced sales growth into profits.,"Economy - Monetary,Retail & Wholesale,Financial Markets,Earnings,Technology"
,2023-03-11 06:30:00,Coinbase Could Be a Home Run Stock,https://www.fool.com/investing/2023/03/11/coinbase-could-be-a-10x-stock/,AMZN,Motley Fool,"Coinbase has proven to be the ""adults in the room"" in crypto.","Technology,Retail & Wholesale,Finance"
,2023-03-11 06:18:00,"Peloton Just Hit Another Speed Bump. Should Investors Buy, Sell, or Hold the Stock?",https://www.fool.com/investing/2023/03/11/peloton-speed-bump-investors-buy-sell-hold-stock/,AMZN,Motley Fool,"Peloton has made substantial progress toward improving its struggling business, but the challenges are adding up.","Technology,IPO,Economy - Fiscal,Retail & Wholesale,Financial Markets,Manufacturing,Earnings"
,2023-03-11 05:30:00,3 Top Stocks That Could Pay You $172 in Passive Income,https://www.fool.com/real-estate/2023/03/11/3-top-stocks-that-could-pay-you-172-in-passive-inc/,AMZN,Motley Fool,Looking to increase your passive income this year? Consider adding these high-yielding stocks to your portfolio.,"Technology,Economy - Monetary,IPO,Retail & Wholesale,Financial Markets,Earnings,Real Estate & Construction"
