id,publish_time,title,article_url,ticker,publisher,description,keywords
,2023-02-25 16:44:00,No 'soft landing' is in the cards from Fed rate hikes. Look for recession and a buying opportunity once stock prices decline.,https://www.marketwatch.com/story/no-soft-landing-is-in-the-cards-from-fed-rate-hikes-look-for-recession-and-a-buying-opportunity-once-stock-prices-decline-c4877405,GOOG,MarketWatch,Many of the market's high-flying stocks were built on the Fed's easy money. That bill is coming due.,"Economy - Monetary,Retail & Wholesale,Financial Markets,Earnings,Technology"
,2023-02-25 16:00:00,ZALES® BECOMES THE OFFICIAL JEWELER OF THE BLACK COLLEGE FOOTBALL HALL OF FAME,https://www.benzinga.com/pressreleases/23/02/n31060894/zales-becomes-the-official-jeweler-of-the-black-college-football-hall-of-fame,GOOG,Benzinga,"Zales to also support HBCU talent by its participation in the HBCU Legacy Bowl Career Fair AKRON, Ohio, Feb. 25, 2023 /PRNewswire/ -- Zales is excited to announce its sponsorship of the Black College Football Hall of Fame ( BCFHOF ) , becoming the official jeweler to create the iconic rings for ...","Retail & Wholesale,Technology"
,2023-02-25 15:45:21,"Newspapers are dropping the Dilbert comic strip after the creator's racist rants. 'Very few readers noticed' the comic's absence, one editor said.",https://africa.businessinsider.com/news/newspapers-are-dropping-the-dilbert-comic-strip-after-the-creators-racist-rants-very/kvjgxs1,GOOG,Business Insider,Newspapers are dropping the Dilbert comic strip after the creator's ... - Business Insider Africa ...,Technology
,2023-02-25 15:24:37,Media drop Dilbert after creator's Black `hate group' remark,https://apnews.com/article/animation-and-comics-business-e2266a2356d4159b7f43fdc095be9fcb,GOOG,Associated Press,"FLE - Scott Adams, creator of the comic strip Dilbert, poses for a portrait with the Dilbert character in his studio in Dublin, Calif., Oct. 26, 2006.",Technology
,2023-02-25 15:00:27,Cricket: In the league of women | The Financial Express,https://www.financialexpress.com/sports/cricket-in-the-league-of-women/2992784/,GOOG,The Financial Express,Cricket: In the league of women The Financial Express ...,"Technology,Financial Markets"
,2023-02-25 14:35:05,"EXCLUSIVE: Ceo.ca's Joshua Duggan On The Next Commodity Bull Run And What's Spurring It  ( AMC Entertainment, Elon Musk? )  - Hycroft Mining Holding  ( NASDAQ:HYMC ) , AMC Entertainment  ( NYSE:AMC ) ",https://www.benzinga.com/markets/penny-stocks/23/02/31051897/exclusive-ceo-cas-joshua-duggan-on-the-next-commodity-bull-run-and-whats-spurring-it-amc-ent,GOOG,Benzinga,"Spot gold has enjoyed a bull market for the last few months amid rising inflation and recession fears, despite the recent pullback. The current downturn the commodity is experiencing could signal good news for miners, however, who often see a trickle-down effect, lagging a bull run in spot gold.","Economy - Monetary,Financial Markets,Manufacturing,Energy & Transportation,Technology"
,2023-02-25 12:32:35,'Dilbert' Comic Strip Cut By Publications Over Creator's 'Racist Rant'-Here's What We Know,https://www.forbes.com/sites/tylerroush/2023/02/25/dilbert-comic-strip-cut-by-publications-over-creators-racist-rant-heres-what-we-know/,GOOG,Forbes,"One newspaper cited recent ""reprehensible"" comments by Scott Adams in its decision to drop the comic.","Technology,Manufacturing"
,2023-02-25 10:03:42,"This 26-year-old pays $0 to live in a 'luxury tiny home' she built for $35,000 in her backyard-take a look inside",https://www.cnbc.com/2023/02/25/26-year-lives-for-free-in-luxury-tiny-home-she-built-for-35000-in-her-backyard-look-inside.html,GOOG,CNBC,"In 2020, Precious Price built a tiny home for $35,000 in her backyard, which she now lives in with her dog. The income she earns from renting out her main 3-bedroom house pays for all of her living expenses, including mortgage fees, property taxes and utility bills.","Technology,Financial Markets"
,2023-02-25 09:59:40,"There Is No Ending Planned For 'The Mandalorian,' Which Seems Bad",https://www.forbes.com/sites/paultassi/2023/02/25/there-is-no-ending-planned-for-the-mandalorian-which-seems-bad/,GOOG,Forbes,"Jon Favreau wants The Mandalorian to continue on indefinitely, and there's no specific end goal in mind.",Technology
,2023-02-25 09:30:00,"Jake Paul Vs. Tommy Fury: Odds, Records, Prediction",https://www.forbes.com/sites/joshkatzowitz/2023/02/25/jake-paul-vs-tommy-fury-odds-records-prediction/,GOOG,Forbes,Here's everything you need to know about Jake Paul vs. Tommy Fury as these undefeated boxing neophytes face off in a big-money matchup.,Technology
,2023-02-25 09:22:00,Google may integrate AI text-to-image generator to Gboard for Android,https://www.business-standard.com/article/technology/google-may-integrate-ai-text-to-image-generator-to-gboard-for-android-123022500566_1.html,GOOG,Business Standard,Google may integrate AI text-to-image generator to Gboard for ... Business Standard ...,Technology
,2023-02-25 09:05:01,How an obscure legal doctrine called the Henderson test could weaken Section 230 and change free speech on the internet,https://www.cnbc.com/2023/02/25/internet-free-speech-henderson-test-could-weaken-section-230.html,GOOG,CNBC,"The so-called Henderson test would significantly weaken the power of Section 230, several experts said, including some who work for Google-backed groups.",Technology
,2023-02-25 09:00:00,Shopify Had Mixed News for Investors,https://www.fool.com/investing/2023/02/25/shopify-had-mixed-news-for-investors/,GOOG,Motley Fool,And that's just the tip of the iceberg as these investors look at the latest quarterly reports from lots of companies.,"Life Sciences,Technology,Retail & Wholesale,Financial Markets,Manufacturing,Earnings,Real Estate & Construction"
,2023-02-25 08:28:08,Facebook Is Taking the Worst Ideas From the Airline Industry,https://www.theatlantic.com/technology/archive/2023/02/meta-verified-facebook-instagram-subscription-service/673207/,GOOG,The Atlantic,"It's been a rough few months for the technology industry. Stock prices have plummeted. Meta, Amazon, Google, Spotify, and Twitter have all laid off a sizable chunk of their workforce ( the list goes on, too ) .","Energy & Transportation,Technology"
,2023-02-25 08:00:00,Mark Zuckerberg and Elon Musk have been publicly criticizing each other for years - but now Meta is mirroring Twitter,https://www.businessinsider.com/elon-musk-mark-zuckerberg-meta-twitter-feud-2023-2,GOOG,Business Insider,"After Years of Criticizing Each Other, Zuckerberg Now Mirrors Musk - Business Insider ...","Technology,Financial Markets"
,2023-02-25 08:00:00,Jenny Slate's Comedy of Kindness,https://www.theatlantic.com/culture/archive/2023/02/jenny-slate-marcel-the-shell-movie-oscars/673219/,GOOG,The Atlantic,Jenny Slate's openness is not a shtick The Atlantic ...,"Technology,Manufacturing"
,2023-02-25 07:40:00,"The success of resale businesses right now hinges on consumer costs, say the investors of 'Shark Tank'",https://www.businessinsider.com/mark-cuban-shark-tank-investment-retold-recycling-resale-sustainability-2023-2,GOOG,Business Insider,Mark Cuban Invests in Resale Startup Retold Recycling on 'Shark ... - Business Insider ...,"Economy - Monetary,Technology"
,2023-02-25 07:36:00,Better Artificial Intelligence Stock: Cloudflare vs. Microsoft,https://www.fool.com/investing/2023/02/25/better-artificial-intelligence-stock-cloudflare-vs/,GOOG,Motley Fool,"Both companies could win big from adopting artificial intelligence-enabled applications, but which is the better bet?","Financial Markets,Earnings,Real Estate & Construction,Technology"
,2023-02-25 07:15:29,Maruti Suzuki Grand Vitara crosses 1.20 lakh bookings: Waiting period up to 9 months | The Financial Express,https://www.financialexpress.com/auto/car-news/maruti-suzuki-grand-vitara-crosses-1-20-lakh-bookings-waiting-period-up-to-9-months/2992719/,GOOG,The Financial Express,Maruti Suzuki Grand Vitara crosses 1.20 lakh bookings: Waiting ... The Financial Express ...,Technology
,2023-02-25 06:56:00,I'm a Stanford professor who's studied organizational behavior for decades. The widespread layoffs in tech are more because of copycat behavior than necessary cost-cutting.,https://www.businessinsider.com/stanford-professor-mass-layoffs-caused-by-social-contagion-companies-imitating-2023-2,GOOG,Business Insider,Stanford Professor: Mass Tech Layoffs Caused by 'Social Contagion' - Business Insider ...,Technology
,2023-02-25 06:56:00,I'm a Stanford professor who's studied organizational behavior for decades. The widespread layoffs in tech are more because of copycat behavior than necessary cost-cutting.,https://markets.businessinsider.com/news/stocks/stanford-professor-mass-layoffs-caused-by-social-contagion-companies-imitating-2023-2,GOOG,Business Insider,"• Industries like tech, media, and finance have slashed thousands of jobs in the past few months. • Companies have cited an economic downturn and a drop in demand for the job cuts. • Stanford professor Jeffrey Pfeffer says there's another simpler reason: Companies are blindly copying each other.",Technology
,2023-02-25 06:55:00,3 Safe Tech Stocks for Any Market Environment,https://www.fool.com/investing/2023/02/25/3-safe-tech-stocks-for-any-market-environment/,GOOG,Motley Fool,Tech is more than just growth stocks.,"Earnings,Technology,Financial Markets"
,2023-02-25 06:55:00,Hero Xoom 110 deliveries begin in India: Honda Activa H-Smart rival | The Financial Express,https://www.financialexpress.com/auto/bike-news/hero-xoom-110-deliveries-begin-in-india-honda-activa-h-smart-rival/2992718/,GOOG,The Financial Express,Hero Xoom 110 deliveries begin in India: Honda Activa H-Smart rival The Financial Express ...,Technology
,2023-02-25 06:16:13,Sydney's Mardi Gras Parade Returns To Packed Streets,https://www.barrons.com/news/sydney-s-mardi-gras-parade-returns-to-packed-streets-33bc16cc,GOOG,Barrons,"Thousands of scantily clad revellers danced through Sydney on Saturday for the annual Mardi Gras parade, which returned to the city's streets for the first time since the outbreak of Covid-19.","Technology,Finance"
,2023-02-25 06:06:52,TikToker says man 'skipping the line on a dating app' asked her out on LinkedIn - this isn't the first time job site has been used for romance,https://africa.businessinsider.com/careers/tiktoker-says-man-skipping-the-line-on-a-dating-app-asked-her-out-on-linkedin-this/nqn45lt,GOOG,Business Insider,TikToker says man 'skipping the line on a dating app' asked her out ... - Business Insider Africa ...,Technology
,2023-02-25 05:52:10,Silicon Valley loses top women,https://theweek.com/feature/1021277/silicon-valley-loses-top-women,GOOG,The Week News,"Here are three of the week's top pieces of financial insight, gathered from around the web: Some of the highest-profile women in the tech industry are ""heading for the exits,"" said Emily Chang in Bloomberg. Last week, it was YouTube chief Susan Wojcicki, who announced she was leaving after 25 ...","Economy - Monetary,Technology"
