id,publish_time,title,article_url,ticker,publisher,description,keywords
,2023-02-17 15:54:00,These Chip Stocks Could Gain 40% This Year And Outperform The S&P 500,https://www.investors.com/stock-lists/ibd-50/growth-stock-these-chip-stocks-show-signs-of-bottoming-promise-40-growth-outperforming-sp-500/,INTC,Investors Business Daily,These Chip Stocks Could Gain 40% This Year And Outperform The ... Investor's Business Daily ...,"IPO,Financial Markets,Manufacturing,Earnings,Finance"
,2023-02-17 15:48:00,Interview With David Rolfe of Wedgewood Partners,https://www.fool.com/investing/2023/02/17/interview-with-david-rolfe-of-wedgewood-partners/,INTC,Motley Fool,Motley Fool analyst John Rotonti recently seized the opportunity to interview David Rolfe.,"Life Sciences,Energy & Transportation,Technology,Finance,Economy - Monetary,Financial Markets,Manufacturing,Earnings,Mergers & Acquisitions"
,2023-02-17 10:42:58,3 Stocks At An Inflection Point - AbbVie  ( NYSE:ABBV ) ,https://www.benzinga.com/23/02/30961786/3-stocks-at-an-inflection-point,INTC,Benzinga,"With consumer and producer prices surprising to the upside, multiple research outlets are starting to call for more aggressive Fed against. We talk about the implications of higher than expected producer and consumer prices this week and what it means for monetary policy going forward.","Economy - Monetary,Life Sciences,Financial Markets,Manufacturing,Earnings,Mergers & Acquisitions"
,2023-02-17 08:30:00,ProntoForms Announces Management and Board Changes,https://www.globenewswire.com/news-release/2023/02/17/2610677/0/en/ProntoForms-Announces-Management-and-Board-Changes.html,INTC,GlobeNewswire,Philip Deck joins Alvaro Pombo as co-CEO to lead ProntoForms in its next stage of growth Philip Deck joins Alvaro Pombo as co-CEO to lead ProntoForms in its next stage of growth ...,"Life Sciences,Financial Markets,Manufacturing,Energy & Transportation"
,2023-02-16 10:23:00,Some of these 'overpaid' CEOs are taking pay cuts. Will it matter?,https://www.marketwatch.com/story/some-of-these-overpaid-ceos-are-taking-pay-cuts-will-it-matter-fb4168e5,INTC,MarketWatch,"Apple Inc. Chief Executive Tim Cook is No. 10 on a new list of the most ""overpaid"" chief executives after making nearly $100 million last year, but after pressure from major shareholders, he asked for and received a 50% compensation cut this year. The Apple AAPL, CEO is not alone.","Energy & Transportation,Technology,Finance,Retail & Wholesale,Financial Markets,Manufacturing,Real Estate & Construction"
,2023-02-16 10:19:31,Tower Semiconductor Clocks 2.2% Revenue Decline In Q4 - Tower Semiconductor  ( NASDAQ:TSEM ) ,https://www.benzinga.com/news/earnings/23/02/30943474/tower-semiconductor-clocks-2-2-revenue-decline-in-q4,INTC,Benzinga,"Tower Semiconductor Ltd TSEM reported a fourth-quarter FY22 revenue decline of 2.2% year-on-year to $403.2 million, beating the consensus of $400.7 million. It posted a 6% organic growth. Gross profit was $125 million, up 25% Y/Y, mainly due to replacing contractual revenue from Arai following ...","Earnings,Manufacturing"
,2023-02-16 09:47:00,"With No Chips To Play Against U.S. Sanctions, SMIC's Margins Tumble - Intel  ( NASDAQ:INTC ) , Taiwan Semiconductor  ( NYSE:TSM ) ",https://www.benzinga.com/23/02/30944211/with-no-chips-to-play-against-u-s-sanctions-smics-margins-tumble,INTC,Benzinga,"SMIC reported sequential revenue and profit declines in last year's fourth quarter, and warned of another 10% to 12% sequential decline in the current quarter The company will take a big hit from a recent agreement between the U.S., Japan and Netherlands restricting the sale of DUV lithography ...","Earnings,Financial Markets,Manufacturing"
,2023-02-16 07:00:00,Tower Semiconductor Reports 2022 Fourth Quarter and Full Year Financial Results,https://www.globenewswire.com/news-release/2023/02/16/2609556/0/en/Tower-Semiconductor-Reports-2022-Fourth-Quarter-and-Full-Year-Financial-Results.html,INTC,GlobeNewswire,Full Year Record Revenue of $1.68 Billion. Increased Profitability Resulting in 16% Net Margin for ...,"Economy - Monetary,Financial Markets,Manufacturing,Earnings,Mergers & Acquisitions"
,2023-02-16 06:45:00,Is AMD the Best Chip Stock to Buy Right Now?,https://www.fool.com/investing/2023/02/16/is-amd-the-best-chip-stock-to-buy-right-now/,INTC,Motley Fool,"AMD is doing well in the current environment, but chip stocks could struggle in the near term.","Earnings,Financial Markets,Manufacturing"
,2023-02-16 05:28:26,Automotive Internet of Things  ( IoT )  Market presents global opportunities for the growth of the Automotive industry- says MMR,https://www.benzinga.com/pressreleases/23/02/g30938158/automotive-internet-of-things-iot-market-presents-global-opportunities-for-the-growth-of-the-autom,INTC,Benzinga,"Pune, Feb. 16, 2023 ( GLOBE NEWSWIRE ) -- A global Automotive and Transportation business-consulting firm, Maximize Market research, has published a market intelligence and competitive landscape report on the ""Internet of Things in Automotive Market"".","Retail & Wholesale,Financial Markets,Manufacturing,Earnings,Technology"
,2023-02-15 21:54:12,ASML stolen data came from repository for chip machines,https://www.scmp.com/tech/big-tech/article/3210374/asml-stolen-data-came-chip-machine-repository-lithography-systems-details-after-reported-breach,INTC,South China Morning Post,"The data came from the life cycle management program Teamcenter and involved only technological information, not hardware, sources told Bloomberg.","Technology,Manufacturing"
,2023-02-15 21:00:00,NEXCOM Showcases Its Latest Network & Communication Solutions at MWC 2023 Barcelona,https://www.newswire.ca/news-releases/nexcom-showcases-its-latest-network-amp-communication-solutions-at-mwc-2023-barcelona-877891191.html,INTC,Canada Newswire,NEXCOM Showcases Its Latest Network & Communication ... Canada ...,Manufacturing
,2023-02-15 15:10:00,"The PC Chip Comeback Might Take a Lot Longer, Analyst Says",https://www.barrons.com/articles/amd-intel-stock-price-pc-chip-demand-2851b25f,INTC,Barrons,AMD and Intel Stock Might Struggle. The PC Chip Comeback Could Take Much Longer. ...,"Financial Markets,Manufacturing"
,2023-02-15 10:37:00,"Tesla 'stands out' by this analysis, earning its stock a bullish rating",https://www.marketwatch.com/story/tesla-has-a-key-advantage-that-has-earned-its-stock-a-bullish-rating-11a17232,INTC,MarketWatch,"Tesla's objectives are similar whether Elon Musk's company is playing for the short run or the long run, and that's a key advantage for its stock.","Financial Markets,Manufacturing,Mergers & Acquisitions,Technology,Finance"
,2023-02-15 04:32:30,IoT Cloud Platform Market to grow at 11.9 percent CAGR over 2029 with increased global Emphasis on Industrialization 4.0- Says MMR,https://www.benzinga.com/pressreleases/23/02/g30919755/iot-cloud-platform-market-to-grow-at-11-9-percent-cagr-over-2029-with-increased-global-emphasis-on,INTC,Benzinga,"SAN FRANCISCO, Feb. 15, 2023 ( GLOBE NEWSWIRE ) -- The report published by Maximize Market Research, a global Information Technology & Telecommunication research firm has published a report on ""IoT Cloud Platform Market"".","Retail & Wholesale,Financial Markets,Manufacturing,Earnings,Technology"
,2023-02-15 03:54:20,Dutch chip equipment maker ASML says ex-employee in China stole tech data,https://www.scmp.com/tech/big-tech/article/3210288/dutch-chip-equipment-maker-asml-says-ex-employee-china-stole-proprietary-tech-data-may-have-violated,INTC,South China Morning Post,This marks the second time in as many years that ASML has levelled charges against Chinese entities.,"Earnings,Technology,Manufacturing"
,2023-02-14 21:34:00,These 8 billionaires have more combined wealth than half of Silicon Valley's residents,https://www.marketwatch.com/story/these-8-billionaires-have-more-combined-wealth-than-half-of-silicon-valleys-residents-d52b5fcd,INTC,MarketWatch,"While the wealth gap narrowed by about 3% nationwide in 2021, it grew by 5% in the region, where tech companies have helped create a wave of millionaires and billionaires in recent years, according to the latest Silicon Valley Index.","Technology,Finance,Manufacturing"
