id,publish_time,title,article_url,ticker,publisher,description,keywords
,2023-03-21 18:50:00,"FATE IMPORTANT DEADLINE: ROSEN, LEADING INVESTOR COUNSEL, Encourages Fate Therapeutics, Inc. Investors to Secure Counsel Before Important March 22 Deadline in Securities Class Action - FATE - Fate Therapeutics  ( NASDAQ:FATE ) ",https://www.benzinga.com/pressreleases/23/03/g31448876/fate-important-deadline-rosen-leading-investor-counsel-encourages-fate-therapeutics-inc-investors-,META,Benzinga,"NEW YORK, March 21, 2023 ( GLOBE NEWSWIRE ) -- WHY: Rosen Law Firm, a global investor rights law firm, reminds purchasers of the securities of Fate Therapeutics, Inc. FATE between April 2, 2020 and January 5, 2023, both dates inclusive ( the ""Class Period"" ) . A class action has already been ...","Life Sciences,Technology,Financial Markets"
,2023-03-21 18:23:24,Jim Cramer says investors need to take a 'longer view' to survive this volatile market,https://www.cnbc.com/2023/03/21/jim-cramer-says-investors-need-to-take-a-longer-view-to-survive-this-volatile-market.html,META,CNBC,"""Anyone who thinks they know what's gonna happen in the next hour or two is wrong,"" CNBC's Jim Cramer said on Tuesday.","Economy - Monetary,Technology,Financial Markets"
,2023-03-21 18:11:07,"ROSEN, TOP RANKED INVESTOR COUNSEL, Encourages Honda Motor Co., Ltd. Investors to Secure Counsel Before Important Deadline in Securities Class Action - HMC - Honda Motor Co  ( NYSE:HMC ) ",https://www.benzinga.com/pressreleases/23/03/g31448613/rosen-top-ranked-investor-counsel-encourages-honda-motor-co-ltd-investors-to-secure-counsel-before,META,Benzinga,"NEW YORK, March 21, 2023 ( GLOBE NEWSWIRE ) -- WHY: Rosen Law Firm, a global investor rights law firm, reminds purchasers of American Depository Shares ( ""ADSs"" ) of Honda Motor Co., Ltd. HMC between June 20, 2018 and September 28, 2022, both dates inclusive ( the ""Class Period"" ) of the ...","Technology,Financial Markets,Manufacturing"
,2023-03-21 18:01:34,"A couch, animal skulls, and more items from the Murdaugh family's estate are up for auction",https://africa.businessinsider.com/lifestyle/a-couch-animal-skulls-and-more-items-from-the-murdaugh-familys-estate-are-up-for/4eh66n9,META,Business Insider,"A couch, animal skulls, and more items from the Murdaugh family's ... - Business Insider Africa ...",Technology
,2023-03-21 17:58:55,"ROSEN, NATIONAL TRIAL LAWYERS, Encourages Dutch Bros, Inc. Investors to Secure Counsel Before Important Deadline in Securities Class Action - BROS - Dutch Bros  ( NYSE:BROS ) ",https://www.benzinga.com/pressreleases/23/03/g31448499/rosen-national-trial-lawyers-encourages-dutch-bros-inc-investors-to-secure-counsel-before-importan,META,Benzinga,"NEW YORK, March 21, 2023 ( GLOBE NEWSWIRE ) -- WHY: Rosen Law Firm, a global investor rights law firm, reminds purchasers of securities of Dutch Bros, Inc. BROS between March 1, 2022 and May 11, 2022, both dates inclusive ( the ""Class Period"" ) , of the important May 1, 2023 lead plaintiff ...","Technology,Financial Markets"
,2023-03-21 17:46:51,TikTok commands the attention of 150 million American users. That's its best defense yet against Biden's threat of a ban.,https://africa.businessinsider.com/news/tiktok-commands-the-attention-of-150-million-american-users-thats-its-best-defense/0ydzzkv,META,Business Insider,TikTok commands the attention of 150 million American users. That's ... - Business Insider Africa ...,Technology
,2023-03-21 17:46:51,TikTok commands the attention of 150 million American users. That's its best defense yet against Biden's threat of a ban.,https://www.businessinsider.com/tiktok-150-million-us-users-facebook-meta-ban-biden-china-2023-3,META,Business Insider,TikTok's Best Defense Against a Ban: 150 Million US Users - Business Insider ...,Technology
,2023-03-21 17:12:00,Video shows Irvo Otieno being pinned to the floor in the moments before his death,https://www.cnn.com/2023/03/21/us/irvo-otieno-video-death-virginia/index.html,META,CNN,Surveillance video released by a prosecutor Tuesday shows Irvo Otieno being pinned to the floor by multiple security officers at a Virginia state mental health facility in the moments leading up to his death earlier this month.,Technology
,2023-03-21 17:02:00,"ROSEN, A TOP RANKED LAW FIRM, Encourages Signature Bank Investors with Losses to Secure Counsel Before Important Deadline in Securities Class Action First Filed by the Firm - SBNY, SBNYP - Signature Bank  ( NASDAQ:SBNY ) ",https://www.benzinga.com/pressreleases/23/03/g31447688/rosen-a-top-ranked-law-firm-encourages-signature-bank-investors-with-losses-to-secure-counsel-befo,META,Benzinga,"NEW YORK, March 21, 2023 ( GLOBE NEWSWIRE ) -- WHY: Rosen Law Firm, a global investor rights law firm, reminds purchasers of the securities of Signature Bank SBNY SBNYP ) ) ) between March 2, 2023 and March 12, 2023, both dates inclusive ( the ""Class Period"" ) , of the important May 15, 2023 ...","Technology,Financial Markets"
,2023-03-21 16:53:36,"GFG Closes Oversubscribed Private Placement Financing - GFG Resources  ( OTC:GFGSF ) , Alamos Gold  ( NYSE:AGI ) ",https://www.benzinga.com/pressreleases/23/03/g31447519/gfg-closes-oversubscribed-private-placement-financing,META,Benzinga,"SASKATOON, Saskatchewan, March 21, 2023 ( GLOBE NEWSWIRE ) -- GFG Resources Inc. GFG GFGSF ( ""GFG"" or the ""Company"" ) has closed the oversubscribed, private placement financing ( the ""Offering"" ) ( see news releases dated February 17, 2023 and March 2, 2023 ) for gross proceeds of C$4,199,578.","Energy & Transportation,Technology,Financial Markets"
,2023-03-21 16:38:27,Juniper Networks Announces Date of First Quarter Preliminary Financial Results Conference Call,https://investingnews.com/juniper-networks-announces-date-of-first-quarter-preliminary-financial-results-conference-call/,META,Investing News Network,"Juniper Networks ( NYSE: JNPR ) , a leader in secure, AI-driven networks, today announced it will release preliminary financial results for the quarter ended March 31, 2023 on Tuesday, April 25, 2023 after the close of the market. The Company's senior management will host a conference call that ...",Technology
,2023-03-21 16:38:00,Rep. Ro Khanna defends fundraiser at David Sacks's home after supporting Silicon Valley Bank bailout,https://www.marketwatch.com/story/rep-ro-khanna-defends-fundraiser-at-david-sacks-home-after-supporting-silicon-valley-bank-bailout-f6b0f0dc,META,MarketWatch,U.S. Rep. Ro Khanna is defending plans for a fundraiser at the home of a venture capitalist in the wake of advocating for intervention for Silicon Valley Bank ...,Technology
