news_id,source_ticker,time,ticker,relevance_score,ticker_sentiment_score,ticker_sentiment_label
,MSFT,2023-01-02 17:30:00,MSFT,0.168785,0.0,Neutral
,MSFT,2023-01-02 17:30:00,NFLX,0.042496,-0.015848,Neutral
,MSFT,2023-01-02 17:30:00,GOOG,0.368469,0.0,Neutral
,MSFT,2023-01-02 17:30:00,META,0.168785,0.056301,Neutral
,MSFT,2023-01-02 17:30:00,WIT,0.042496,0.011748,Neutral
,MSFT,2023-01-02 17:30:00,NYT,0.042496,0.116353,Neutral
,MSFT,2023-01-02 17:30:00,INFY,0.042496,0.011748,Neutral
,MSFT,2023-01-02 17:30:00,CRYPTO:BTC,0.042496,-0.097418,Neutral
,MSFT,2023-01-02 17:00:00,MSFT,0.038223,0.080666,Neutral
,MSFT,2023-01-02 17:00:00,MSTR,0.076358,0.116363,Neutral
,MSFT,2023-01-02 17:00:00,CRYPTO:BTC,0.874859,0.236131,Somewhat-Bullish
,MSFT,2023-01-02 15:38:00,MSFT,0.04912,0.127264,Neutral
,MSFT,2023-01-02 15:38:00,OXY,0.146618,0.293473,Somewhat-Bullish
,MSFT,2023-01-02 15:38:00,AAPL,0.288327,-0.133167,Neutral
,MSFT,2023-01-02 15:38:00,TSLA,0.420705,-0.053353,Neutral
,MSFT,2023-01-02 15:38:00,CVX,0.146618,0.293473,Somewhat-Bullish
,MSFT,2023-01-02 15:38:00,BRK-A,0.098054,0.239193,Somewhat-Bullish
,MSFT,2023-01-02 11:38:11,MSFT,0.105372,0.101436,Neutral
,MSFT,2023-01-02 11:38:11,GOOG,0.131499,0.13117,Neutral
,MSFT,2023-01-02 11:38:11,TSLA,0.052801,0.10063,Neutral
,MSFT,2023-01-02 11:38:11,VLTA,0.026415,0.0915,Neutral
,MSFT,2023-01-02 11:20:00,MSFT,0.049526,0.047907,Neutral
,MSFT,2023-01-02 11:20:00,META,0.049526,0.047907,Neutral
,MSFT,2023-01-02 11:20:00,AAPL,0.736438,0.082306,Neutral
,MSFT,2023-01-02 11:20:00,TSLA,0.049526,0.047907,Neutral
,MSFT,2023-01-02 11:20:00,AMZN,0.049526,0.047907,Neutral
,MSFT,2023-01-02 11:20:00,FOREX:USD,0.049526,0.217931,Somewhat-Bullish
,MSFT,2023-01-02 10:05:00,MSFT,0.104228,0.147615,Neutral
,MSFT,2023-01-02 10:00:00,MSFT,0.023102,0.075972,Neutral
,MSFT,2023-01-02 10:00:00,SNEJF,0.023102,0.371275,Bullish
,MSFT,2023-01-02 10:00:00,SSNLF,0.046184,0.300617,Somewhat-Bullish
,MSFT,2023-01-02 10:00:00,GOOG,0.023102,0.097183,Neutral
,MSFT,2023-01-02 10:00:00,OMRNF,0.023102,0.103549,Neutral
,MSFT,2023-01-02 10:00:00,NINOF,0.023102,0.097183,Neutral
,MSFT,2023-01-02 10:00:00,PCRFF,0.023102,0.371275,Bullish
,MSFT,2023-01-02 10:00:00,DAL,0.023102,0.0,Neutral
,MSFT,2023-01-02 09:34:20,MSFT,0.024648,0.054658,Neutral
,MSFT,2023-01-02 09:34:20,SNEJF,0.024648,0.054658,Neutral
,MSFT,2023-01-02 09:34:20,SSNLF,0.024648,0.054658,Neutral
,MSFT,2023-01-02 09:34:20,CSCO,0.024648,0.054658,Neutral
,MSFT,2023-01-02 09:34:20,INTC,0.024648,0.054658,Neutral
,MSFT,2023-01-02 09:34:20,HPQ,0.024648,0.054658,Neutral
,MSFT,2023-01-02 09:34:20,PCRFF,0.049271,0.190087,Somewhat-Bullish
,MSFT,2023-01-02 09:30:00,MSFT,0.366832,0.535158,Bullish
,MSFT,2023-01-02 09:30:00,NFLX,0.054359,-0.092005,Neutral
,MSFT,2023-01-02 09:30:00,GOOG,0.214937,0.274789,Somewhat-Bullish
,MSFT,2023-01-02 08:45:00,MSFT,0.05339,0.002001,Neutral
,MSFT,2023-01-02 08:45:00,GOOG,0.106541,0.078011,Neutral
,MSFT,2023-01-02 08:45:00,META,0.106541,0.002241,Neutral
,MSFT,2023-01-02 08:45:00,CSCO,0.05339,0.164722,Somewhat-Bullish
,MSFT,2023-01-02 08:45:00,ZM,0.496915,0.159334,Somewhat-Bullish
