id,publish_time,title,article_url,ticker,publisher,description,keywords
,2023-02-17 16:04:09,Bally Sports Is Upending The RSN Model; MLB Is Prepared To Go It Alone,https://www.forbes.com/sites/maurybrown/2023/02/17/bally-sports-is-upending-the-rsn-model-mlb-is-prepared-to-go-it-alone/,NFLX,Forbes,"The Bally Sports bankruptcy is a disruption to the entire regional sports network model. If MLB walks away from them, it will have a cascading effect.","Real Estate & Construction,Technology"
,2023-02-17 16:04:09,Bally Sports Decision To Upend The RSN Model Primes MLB To Take Over Its Own Distribution,https://www.forbes.com/sites/maurybrown/2023/02/17/bally-sports-decision-to-upend-the-rsn-model-primes-mlb-to-take-over-its-own-distribution/,NFLX,Forbes,"The Bally Sports bankruptcy is a disruption to the entire regional sports network model. If MLB walks away from them, it will have a cascading effect.","Real Estate & Construction,Technology"
,2023-02-17 14:41:43,What's With Those Cartoonishly Big Red Rubber Boots Influencers Are Showing Off On Social Media?,https://www.forbes.com/sites/anthonytellez/2023/02/17/whats-with-those-cartoonishly-big-red-rubber-boots-influencers-are-showing-off-on-social-media/,NFLX,Forbes,Social media feeds have been inundated with photos and videos of content creators in giant red boots made by art collective MSCHF.,"Life Sciences,Manufacturing"
,2023-02-17 13:40:40,Roku Earnings Report: Stock Price Rises As Roku Exceeds Expectations,https://www.forbes.com/sites/qai/2023/02/17/roku-earnings-report-stock-price-rises-as-roku-exceeds-expectations/,NFLX,Forbes,"Roku stock soared on Thursday after the company delivered an upbeat earnings report for Q4 but warned that ""macro uncertainty"" could create challenges in 2023.","Economy - Monetary,Financial Markets,Manufacturing,Earnings,Technology"
,2023-02-17 13:00:01,The Best Movies Leaving Netflix In February 2023,https://www.forbes.com/sites/travisbean/2023/02/17/the-best-movies-leaving-netflix-in-february-2023/,NFLX,Forbes,Here are the best movies leaving Netflix this month that you don't want to miss.,
,2023-02-17 11:05:00,Netflix global CEO meets union minister Anurag Thakur in New Delhi,https://www.business-standard.com/article/current-affairs/netflix-ceo-ted-sarandos-meets-i-b-minister-anurag-thakur-123021701161_1.html,NFLX,Business Standard,"Union Information and Broadcasting Minister Anurag Thakur here on Friday met Netflix Chief Executive Officer Ted Sarandos and discussed the expanding creative economy of the country. During their meeting, Thakur highlighted how India had emerged as a content and post-production hub, backed by the ...",
,2023-02-17 11:00:00,Pre-order the Atmoph and Stranger Things Edition Pass,https://www.benzinga.com/pressreleases/23/02/g30962059/pre-order-the-atmoph-and-stranger-things-edition-pass,NFLX,Benzinga,"KYOTO, Japan, Feb. 17, 2023 ( GLOBE NEWSWIRE ) -- Atmoph Inc. the developer and supplier of Atmoph Window 2 ( Location: Kyoto, CEO: Kyohi Kang ) , announces ""The Edition Pass | Stranger Things"", in collaboration with the Netflix hit series, Stranger Things on February 17, 2023.",
,2023-02-17 09:40:09,Celebs Raise Awareness For Women's Heart Health At Go Red For Women 2023 Red Dress Collection Concert,https://www.forbes.com/sites/lipiroy/2023/02/17/celebs-raise-awareness-for-womens-heart-health-at-go-red-for-women-2023-red-dress-collection-concert/,NFLX,Forbes,Celebrities joined forces to fight women's heart disease at the American Heart Association's 2023 Go Red for Women Red Dress Collection concert.,
,2023-02-17 09:22:17,The Super Bowl Ended The Last Of Us's Unprecedented Ratings Climb,https://www.forbes.com/sites/paultassi/2023/02/17/the-super-bowl-ended-the-last-of-uss-unprecedented-ratings-climb/,NFLX,Forbes,"After some truly ridiculous jumps week to week for The Last of Us on HBO, which increased its live viewership by a significant amount for four weeks straight, that streak has come to an end.",Technology
,2023-02-17 09:00:00,"Jerry Media Co-Founder, James Ohliger, Joins Taktical Digital",https://www.benzinga.com/pressreleases/23/02/n30959840/jerry-media-co-founder-james-ohliger-joins-taktical-digital,NFLX,Benzinga,"NEW YORK, Feb. 17, 2023 /PRNewswire/ -- Taktical Digital, a leading performance marketing agency in New York has announced that marketing veteran James Ohliger, has joined the Taktical Digital team as the new Head of Creative Content and Influencer Marketing.",
,2023-02-17 08:30:00,AMC Networks Inc. Reports Fourth Quarter and Full Year 2022 Results,https://www.globenewswire.com/news-release/2023/02/17/2610670/16019/en/AMC-Networks-Inc-Reports-Fourth-Quarter-and-Full-Year-2022-Results.html,NFLX,GlobeNewswire,"NEW YORK, Feb. 17, 2023 ( GLOBE NEWSWIRE ) -- AMC Networks Inc. ( ""AMC Networks"" or the ""Company"" ) ( NASDAQ: AMCX ) today reported financial results for the fourth quarter and full year ended December 31, 2022.","Earnings,Technology,Financial Markets"
,2023-02-17 08:00:00,"Collin Morikawa, Xander Schauffele Talk 'Full Swing,' TGL And Tiger's Return",https://www.forbes.com/sites/michaellore/2023/02/17/collin-morikawa-xander-schauffele-talk-full-swing-tgl-and-tigers-return/,NFLX,Forbes,The two Adidas golf ambassadors share their thoughts on how the new Netflix series and upcoming tech-infused golf league can help grow the game.,
,2023-02-17 05:30:55,"This year's pizza trends: Fewer pineapples, more pickles",https://www.axios.com/2023/02/17/pizza-trends-2023,NFLX,Axios,"2023 pizza trends: Pineapple out, pickles in ...",
,2023-02-17 03:09:56,Only 3 female contestants made it into the top 20 on Netflix's 'Physical: 100.' We asked trainers what kinds of physical challenges women are better equipped for than men.,https://africa.businessinsider.com/entertainment/only-3-female-contestants-made-it-into-the-top-20-on-netflixs-physical-100-we-asked/87gj6yq,NFLX,Business Insider,Only 3 female contestants made it into the top 20 on Netflix's ... - Business Insider Africa ...,
,2023-02-17 01:18:11,Google Stock: Search Is On The Precipice Of Multi-Decade Disruption,https://www.forbes.com/sites/bethkindig/2023/02/17/google-stock-search-is-on-the-precipice-of-multi-decade-disruption/,NFLX,Forbes,"Despite the mishap with Bard, it would be a mistake to think Google does not command a place of leadership right now in generative AI. Google was one of the first tech companies to focus and invest on AI and natural language processing (NLP). READ MORE ...","Financial Markets,Manufacturing,Earnings,Technology"
