news_id,source_ticker,time,ticker,relevance_score,ticker_sentiment_score,ticker_sentiment_label
,NFLX,2023-02-02 18:35:00,MSFT,0.08197,-0.093487,Neutral
,NFLX,2023-02-02 18:35:00,NFLX,0.041039,0.067682,Neutral
,NFLX,2023-02-02 17:28:37,NFLX,0.041901,0.150968,Somewhat-Bullish
,NFLX,2023-02-02 17:17:59,NFLX,0.706282,0.197375,Somewhat-Bullish
,NFLX,2023-02-02 16:57:00,NFLX,0.028868,0.002769,Neutral
,NFLX,2023-02-02 16:57:00,DIS,0.028868,0.002769,Neutral
,NFLX,2023-02-02 16:57:00,ANDE,0.028868,0.149208,Neutral
,NFLX,2023-02-02 16:57:00,YUM,0.028868,0.154052,Somewhat-Bullish
,NFLX,2023-02-02 16:57:00,SBUX,0.028868,0.002769,Neutral
,NFLX,2023-02-02 16:57:00,DSSMY,0.028868,0.002769,Neutral
,NFLX,2023-02-02 16:57:00,QCOM,0.028868,0.002769,Neutral
,NFLX,2023-02-02 16:57:00,WBD,0.028868,0.245396,Somewhat-Bullish
,NFLX,2023-02-02 16:57:00,AXP,0.028868,0.002769,Neutral
,NFLX,2023-02-02 16:57:00,PEP,0.028868,0.002769,Neutral
,NFLX,2023-02-02 16:57:00,FDX,0.028868,0.002769,Neutral
,NFLX,2023-02-02 16:57:00,BA,0.028868,0.002769,Neutral
,NFLX,2023-02-02 16:57:00,KFY,0.028868,0.263313,Somewhat-Bullish
,NFLX,2023-02-02 16:48:16,NFLX,0.185306,-0.11208,Neutral
,NFLX,2023-02-02 16:37:00,NFLX,0.52759,0.264709,Somewhat-Bullish
,NFLX,2023-02-02 16:37:00,GM,0.718897,0.366844,Bullish
,NFLX,2023-02-02 16:33:00,NFLX,0.854963,0.142701,Neutral
,NFLX,2023-02-02 16:33:00,WBD,0.11983,-0.090451,Neutral
,NFLX,2023-02-02 16:33:00,AAPL,0.11983,-0.047168,Neutral
,NFLX,2023-02-02 16:33:00,NFLX,0.854963,0.142701,Neutral
,NFLX,2023-02-02 16:33:00,WBD,0.11983,-0.090451,Neutral
,NFLX,2023-02-02 16:33:00,AAPL,0.11983,-0.047168,Neutral
,NFLX,2023-02-02 15:14:19,NFLX,0.551009,0.248522,Somewhat-Bullish
,NFLX,2023-02-02 15:14:19,WBD,0.075397,0.030999,Neutral
,NFLX,2023-02-02 15:12:16,NFLX,0.086245,0.006355,Neutral
,NFLX,2023-02-02 15:12:16,NYT,0.086245,-0.106964,Neutral
,NFLX,2023-02-02 14:47:00,NFLX,0.353059,0.140451,Neutral
,NFLX,2023-02-02 14:47:00,SHOP,0.297301,0.152595,Somewhat-Bullish
,NFLX,2023-02-02 14:47:00,GOOG,0.121343,0.095076,Neutral
,NFLX,2023-02-02 14:47:00,META,0.060848,0.080419,Neutral
,NFLX,2023-02-02 14:47:00,HAL,0.121343,0.095076,Neutral
,NFLX,2023-02-02 14:47:00,PSX,0.121343,0.095076,Neutral
,NFLX,2023-02-02 14:47:00,WBD,0.060848,0.056148,Neutral
,NFLX,2023-02-02 14:47:00,CB,0.121343,0.095076,Neutral
,NFLX,2023-02-02 14:47:00,CNI,0.239895,0.128899,Neutral
,NFLX,2023-02-02 12:49:30,NFLX,0.029113,0.143768,Neutral
,NFLX,2023-02-02 12:49:30,GOOG,0.029113,0.023558,Neutral
,NFLX,2023-02-02 12:45:29,NFLX,0.075635,0.084055,Neutral
,NFLX,2023-02-02 12:42:57,NFLX,0.932163,0.304176,Somewhat-Bullish
,NFLX,2023-02-02 12:42:57,GM,0.703273,0.115456,Neutral
,NFLX,2023-02-02 11:00:00,NFLX,0.766141,0.124953,Neutral
