volumn,vwap,open,close,high,low,time,num_trades
97932271.0,153.2791,153.155,153.34,154.24,151.92,2022-10-31 04:00:00,726843
80379345.0,150.9807,155.08,150.65,155.45,149.13,2022-11-01 04:00:00,650595
93604623.0,148.2186,148.945,145.03,152.17,145.0,2022-11-02 04:00:00,788400
97917166.0,140.1145,142.06,138.88,142.8,138.75,2022-11-03 04:00:00,871800
140494796.0,137.3583,142.09,138.38,142.67,134.38,2022-11-04 04:00:00,1161631
83364228.0,137.4671,137.11,138.92,139.145,135.671,2022-11-07 05:00:00,715005
89908477.0,139.5702,140.41,139.5,141.43,137.49,2022-11-08 05:00:00,637312
74903262.0,135.9897,138.5,134.87,138.55,134.5933,2022-11-09 05:00:00,632982
118854028.0,144.1322,141.24,146.87,146.87,139.5,2022-11-10 05:00:00,875048
93966273.0,148.1929,145.82,149.7,150.01,144.37,2022-11-11 05:00:00,742241
73374114.0,148.7236,148.97,148.28,150.28,147.43,2022-11-14 05:00:00,576289
89868332.0,151.2356,152.215,150.04,153.59,148.5613,2022-11-15 05:00:00,703669
64218266.0,148.6596,149.13,148.79,149.87,147.29,2022-11-16 05:00:00,472247
80389400.0,149.706,146.43,150.72,151.48,146.15,2022-11-17 05:00:00,563714
74829573.0,151.1944,152.305,151.29,152.7,149.97,2022-11-18 05:00:00,514103
58724070.0,148.4817,150.16,148.01,150.37,147.715,2022-11-21 05:00:00,504777
51804132.0,149.1957,148.13,150.18,150.42,146.925,2022-11-22 05:00:00,405185
58283895.0,150.7871,149.45,151.07,151.83,149.34,2022-11-23 05:00:00,444423
35195860.0,148.1668,148.305,148.11,148.88,147.12,2022-11-25 05:00:00,319570
69346522.0,144.782,145.14,144.22,146.64,143.38,2022-11-28 05:00:00,614357
83736803.0,142.0517,144.29,141.17,144.81,140.355,2022-11-29 05:00:00,713280
111314880.0,145.1721,141.395,148.03,148.72,140.55,2022-11-30 05:00:00,707647
71250416.0,148.105,148.21,148.31,149.13,146.61,2022-12-01 05:00:00,525985
65438446.0,146.8594,145.96,147.81,148.0,145.65,2022-12-02 05:00:00,464550
68826442.0,147.6384,147.77,146.63,150.9199,145.77,2022-12-05 05:00:00,586791
64727186.0,143.7902,147.075,142.91,147.3,141.92,2022-12-06 05:00:00,537304
69721094.0,141.1601,142.19,140.94,143.37,140.0,2022-12-07 05:00:00,565392
62128338.0,142.5153,142.36,142.65,143.52,141.1,2022-12-08 05:00:00,456121
76084511.0,143.2204,142.34,142.16,145.57,140.9,2022-12-09 05:00:00,530236
70462654.0,143.0063,142.7,144.49,144.5,141.06,2022-12-12 05:00:00,492710
93486161.0,146.5933,149.5,145.47,149.9692,144.24,2022-12-13 05:00:00,706525
82211182.0,144.2495,145.35,143.21,146.655,141.16,2022-12-14 05:00:00,597870
98463907.0,137.6359,141.11,136.5,141.8,136.025,2022-12-15 05:00:00,879346
160063600.0,134.9476,136.685,134.51,137.65,133.73,2022-12-16 05:00:00,821076
79592614.0,132.4667,135.11,132.37,135.2,131.32,2022-12-19 05:00:00,705820
77430718.0,131.8489,131.39,132.3,133.25,129.89,2022-12-20 05:00:00,640693
85927993.0,135.315,132.98,135.45,136.81,132.75,2022-12-21 05:00:00,588684
77696108.0,131.8997,134.352,132.23,134.56,130.3,2022-12-22 05:00:00,643294
63802893.0,131.1521,130.92,131.86,132.415,129.64,2022-12-23 05:00:00,541274
69007830.0,129.9522,131.38,130.03,131.41,128.72,2022-12-27 05:00:00,608331
85438391.0,127.5918,129.67,126.04,131.0275,125.87,2022-12-28 05:00:00,762246
75501810.0,129.4879,127.99,129.61,130.4814,127.73,2022-12-29 05:00:00,598204
76204209.0,128.8013,128.41,129.93,129.95,127.43,2022-12-30 05:00:00,592655
112117471.0,125.725,130.28,125.07,130.9,124.17,2023-01-03 05:00:00,1021065
89100633.0,126.6464,126.89,126.36,128.6557,125.08,2023-01-04 05:00:00,770042
80716808.0,126.0883,127.13,125.02,127.77,124.76,2023-01-05 05:00:00,665458
87754715.0,128.1982,126.01,129.62,130.29,124.89,2023-01-06 05:00:00,711520
70790813.0,131.6292,130.465,130.15,133.41,129.89,2023-01-09 05:00:00,645365
63896155.0,129.822,130.26,130.73,131.2636,128.12,2023-01-10 05:00:00,554940
69458949.0,132.3081,131.25,133.49,133.51,130.46,2023-01-11 05:00:00,561278
71379648.0,133.171,133.88,133.41,134.26,131.44,2023-01-12 05:00:00,635331
57809719.0,133.6773,132.03,134.76,134.92,131.66,2023-01-13 05:00:00,537385
63612627.0,135.7587,134.83,135.94,137.29,134.13,2023-01-17 05:00:00,595831
69672800.0,136.3316,136.815,135.21,138.61,135.03,2023-01-18 05:00:00,578304
58280413.0,134.9653,134.08,135.27,136.25,133.77,2023-01-19 05:00:00,491674
80200655.0,136.3762,135.28,137.87,138.02,134.22,2023-01-20 05:00:00,552230
81760313.0,141.2116,138.12,141.11,143.315,137.9,2023-01-23 05:00:00,719288
66435142.0,142.0507,140.305,142.53,143.16,140.3,2023-01-24 05:00:00,498679
65799349.0,140.7526,140.89,141.86,142.43,138.81,2023-01-25 05:00:00,536505
54105068.0,143.3429,143.17,143.96,144.25,141.9,2023-01-26 05:00:00,472135
70547743.0,145.8365,143.155,145.93,147.23,143.08,2023-01-27 05:00:00,560022
64015274.0,143.6524,144.955,143.0,145.55,142.85,2023-01-30 05:00:00,551111
65874459.0,143.6473,142.7,144.29,144.34,142.28,2023-01-31 05:00:00,468170
77663426.0,143.8723,143.97,145.43,146.61,141.32,2023-02-01 05:00:00,693374
118338980.0,149.3764,148.9,150.82,151.18,148.17,2023-02-02 05:00:00,996203
154338835.0,154.2437,148.03,154.5,157.38,147.83,2023-02-03 05:00:00,1141350
69771906.0,152.0939,152.575,151.73,153.1,150.78,2023-02-06 05:00:00,583517
83322551.0,153.4202,150.64,154.65,155.23,150.64,2023-02-07 05:00:00,661767
63620079.0,152.3636,153.88,151.92,154.58,151.168,2023-02-08 05:00:00,524140
55994243.0,152.2769,153.775,150.87,154.33,150.42,2023-02-09 05:00:00,471973
57388108.0,150.4054,149.46,151.01,151.3401,149.22,2023-02-10 05:00:00,443405
62199013.0,153.231,150.952,153.85,154.26,150.92,2023-02-13 05:00:00,506668
61664023.0,152.5956,152.12,153.2,153.77,150.86,2023-02-14 05:00:00,528566
65665252.0,154.4536,153.11,155.33,155.5,152.88,2023-02-15 05:00:00,520574
68167942.0,154.7143,153.51,153.71,156.33,153.3475,2023-02-16 05:00:00,516187
59105618.0,152.0451,152.35,152.55,153.0,150.85,2023-02-17 05:00:00,468580
58217230.0,149.3501,150.2,148.48,151.3,148.405,2023-02-21 05:00:00,509342
51008155.0,148.5494,148.87,148.91,149.95,147.16,2023-02-22 05:00:00,429775
48392049.0,148.8407,150.09,149.4,150.34,147.24,2023-02-23 05:00:00,425159
55469606.0,146.3861,147.11,146.71,147.19,145.7202,2023-02-24 05:00:00,472221
44998470.0,148.1344,147.71,147.92,149.17,147.45,2023-02-27 05:00:00,418069
50546998.0,147.7996,147.05,147.41,149.08,146.83,2023-02-28 05:00:00,383779
55478991.0,145.868,146.83,145.31,147.2285,145.01,2023-03-01 05:00:00,461613
52279761.0,145.1652,144.38,145.91,146.71,143.9,2023-03-02 05:00:00,413238
70725339.0,150.0304,148.045,151.03,151.11,147.33,2023-03-03 05:00:00,558706
87558028.0,154.6895,153.785,153.83,156.3,153.46,2023-03-06 05:00:00,691990
