volumn,vwap,open,close,high,low,time,num_trades
99248920.0,102.2496,103.56,102.44,104.87,100.74,2022-10-31 04:00:00,755820
153370022.0,98.2156,103.99,96.79,104.58,96.06,2022-11-01 04:00:00,1356112
135730798.0,94.8311,97.315,92.12,97.74,92.01,2022-11-02 04:00:00,1199947
136651803.0,90.382,92.47,89.3,93.5,89.02,2022-11-03 04:00:00,1217237
128579836.0,90.1098,91.49,90.98,92.44,88.04,2022-11-04 04:00:00,1000081
77479228.0,90.1954,91.95,90.53,92.1,89.04,2022-11-07 05:00:00,717300
87671870.0,90.2606,90.79,89.98,91.72,88.23,2022-11-08 05:00:00,710063
90765821.0,87.0753,89.47,86.14,89.48,85.87,2022-11-09 05:00:00,811927
173282812.0,95.5593,92.935,96.63,98.69,91.65,2022-11-10 05:00:00,1275893
111558544.0,99.7744,97.88,100.79,101.19,96.66,2022-11-11 05:00:00,865502
99533072.0,98.7897,98.77,98.49,100.1199,97.29,2022-11-14 05:00:00,735582
111269317.0,100.1903,103.21,98.94,103.79,97.34,2022-11-15 05:00:00,824194
87708828.0,97.0423,96.85,97.12,98.4879,95.54,2022-11-16 05:00:00,679234
81597465.0,95.3654,95.37,94.85,96.97,94.03,2022-11-17 05:00:00,632568
72413785.0,93.9287,95.95,94.14,95.99,92.48,2022-11-18 05:00:00,553023
84317770.0,92.0876,93.97,92.46,95.02,90.59,2022-11-21 05:00:00,679098
62166962.0,92.6175,92.62,93.2,93.35,90.87,2022-11-22 05:00:00,454878
59414684.0,93.8426,93.24,94.13,94.58,92.83,2022-11-23 05:00:00,433372
35088609.0,93.7731,93.79,93.41,94.43,93.065,2022-11-25 05:00:00,297836
75062316.0,94.4403,93.93,93.95,96.4,93.43,2022-11-28 05:00:00,572356
65567286.0,92.5691,94.04,92.42,94.41,91.44,2022-11-29 05:00:00,535131
102805806.0,94.2545,92.47,96.54,96.54,91.525,2022-11-30 05:00:00,698414
68487969.0,95.9432,96.99,95.5,97.23,94.92,2022-12-01 05:00:00,566475
72496388.0,94.326,94.475,94.13,95.36,93.78,2022-12-02 05:00:00,564715
71535526.0,91.9759,93.05,91.01,94.06,90.82,2022-12-05 05:00:00,635423
75503628.0,88.9878,90.5,88.25,91.04,87.9,2022-12-06 05:00:00,697936
68086880.0,88.3485,88.34,88.46,89.89,87.48,2022-12-07 05:00:00,554420
73305887.0,89.9326,89.24,90.35,90.86,87.88,2022-12-08 05:00:00,560413
67398506.0,89.4021,88.9,89.09,90.3,88.63,2022-12-09 05:00:00,530211
61999762.0,89.3311,89.21,90.55,90.58,87.87,2022-12-12 05:00:00,516683
100212038.0,93.1398,95.23,92.49,96.25,90.52,2022-12-13 05:00:00,773656
70283506.0,92.1202,92.502,91.58,93.4581,89.87,2022-12-14 05:00:00,542344
84802877.0,88.4099,89.89,88.45,89.97,87.47,2022-12-15 05:00:00,698193
146144064.0,87.8097,88.265,87.86,89.35,86.73,2022-12-16 05:00:00,629942
83530060.0,85.4789,87.51,84.92,87.63,84.51,2022-12-19 05:00:00,746547
74348301.0,85.3938,85.33,85.19,86.61,84.33,2022-12-20 05:00:00,536646
59067156.0,86.5524,86.175,86.77,87.225,85.21,2022-12-21 05:00:00,466873
81431314.0,83.5866,85.52,83.79,85.68,82.25,2022-12-22 05:00:00,701868
57433655.0,84.5241,83.25,85.25,85.78,82.9344,2022-12-23 05:00:00,478256
57284035.0,83.7693,84.97,83.04,85.35,83.0,2022-12-27 05:00:00,499691
58228575.0,82.3609,82.8,81.82,83.48,81.69,2022-12-28 05:00:00,521291
54995895.0,83.7973,82.87,84.18,84.55,82.55,2022-12-29 05:00:00,473303
62401194.0,83.186,83.12,84.0,84.05,82.47,2022-12-30 05:00:00,482279
76706040.0,85.5452,85.46,85.82,86.96,84.205,2023-01-03 05:00:00,575321
68885123.0,85.1301,86.55,85.14,86.98,83.36,2023-01-04 05:00:00,575729
67930825.0,83.7788,85.33,83.12,85.42,83.07,2023-01-05 05:00:00,532666
83303361.0,84.4954,83.03,86.08,86.4,81.43,2023-01-06 05:00:00,657438
65266056.0,88.3985,87.46,87.36,89.48,87.08,2023-01-09 05:00:00,590215
67685201.0,89.3736,87.57,89.87,90.185,87.29,2023-01-10 05:00:00,523587
103126183.0,93.7151,90.93,95.09,95.26,90.93,2023-01-11 05:00:00,741563
85254781.0,95.218,96.93,95.27,97.19,93.5,2023-01-12 05:00:00,630928
85549432.0,96.997,94.18,98.12,98.37,94.12,2023-01-13 05:00:00,619727
72755001.0,96.7656,98.68,96.05,98.89,95.73,2023-01-17 05:00:00,600669
79532870.0,96.8796,97.25,95.46,99.32,95.38,2023-01-18 05:00:00,581769
68915663.0,93.9022,94.74,93.68,95.44,92.86,2023-01-19 05:00:00,502112
67141539.0,95.8223,93.86,97.25,97.354,93.2025,2023-01-20 05:00:00,467435
76487303.0,97.2175,97.56,97.52,97.78,95.86,2023-01-23 05:00:00,589238
66929452.0,97.0691,96.93,96.32,98.09,96.0,2023-01-24 05:00:00,480419
94261570.0,94.5588,92.56,97.18,97.24,91.52,2023-01-25 05:00:00,696993
68523557.0,98.522,98.235,99.22,99.49,96.92,2023-01-26 05:00:00,531132
87775614.0,101.8376,99.53,102.24,103.485,99.53,2023-01-27 05:00:00,645609
70691860.0,100.5827,101.09,100.55,101.74,99.01,2023-01-30 05:00:00,566993
66527253.0,102.5976,101.155,103.13,103.3484,101.14,2023-01-31 05:00:00,481184
80450121.0,103.7156,102.53,105.15,106.24,101.24,2023-02-01 05:00:00,642368
157942363.0,111.3451,110.245,112.91,114.0,108.88,2023-02-02 05:00:00,1209503
144343628.0,105.7858,105.26,103.39,108.78,102.52,2023-02-03 05:00:00,1134293
81945199.0,102.246,102.925,102.18,103.9484,100.65,2023-02-06 05:00:00,625158
119316301.0,100.2393,101.17,102.11,102.41,98.08,2023-02-07 05:00:00,854814
74746154.0,100.1813,102.04,100.05,102.6699,98.775,2023-02-08 05:00:00,548954
64568489.0,99.3668,101.32,98.24,101.78,97.57,2023-02-09 05:00:00,560764
52733633.0,97.4738,97.56,97.61,98.8163,96.23,2023-02-10 05:00:00,487987
52775864.0,98.8244,97.85,99.54,99.68,96.91,2023-02-13 05:00:00,432119
56202698.0,99.0512,98.41,99.7,100.9207,97.52,2023-02-14 05:00:00,458644
48053879.0,99.9413,99.09,101.16,101.17,98.45,2023-02-15 05:00:00,412969
