volumn,vwap,open,close,high,low,time,num_trades
31665036.0,94.6342,95.42,94.51,96.03,93.98,2022-10-31 04:00:00,295355
47161351.0,91.9048,95.45,90.47,96.03,90.37,2022-11-01 04:00:00,542648
57038282.0,89.1239,90.94,86.97,91.18,86.88,2022-11-02 04:00:00,663505
61288019.0,84.7389,86.32,83.43,86.52,83.34,2022-11-03 04:00:00,639474
51124904.0,85.5307,85.4,86.58,86.64,83.71,2022-11-04 04:00:00,489003
34046912.0,88.0014,87.28,88.49,88.9,86.85,2022-11-07 05:00:00,325272
30429025.0,89.0201,88.9,88.9,90.32,87.5901,2022-11-08 05:00:00,308862
31767118.0,88.1991,88.45,87.32,89.435,87.28,2022-11-09 05:00:00,281659
51620136.0,93.4216,92.25,93.94,94.39,91.61,2022-11-10 05:00:00,482705
33090482.0,96.0066,94.69,96.41,96.93,93.92,2022-11-11 05:00:00,341969
30179539.0,95.6903,95.09,95.7,96.79,94.51,2022-11-14 05:00:00,302633
41640816.0,98.4753,98.26,98.44,100.14,96.71,2022-11-15 05:00:00,422006
29105154.0,98.7427,97.9,98.85,99.6375,97.64,2022-11-16 05:00:00,265830
26049599.0,98.0193,96.97,98.36,99.28,96.79,2022-11-17 05:00:00,257548
28342297.0,97.5132,98.77,97.43,98.9,96.37,2022-11-18 05:00:00,241761
21647387.0,96.2527,97.29,95.6,98.4,95.355,2022-11-21 05:00:00,224985
23438480.0,96.189,95.95,97.05,97.22,94.05,2022-11-22 05:00:00,214499
18868092.0,98.0802,97.09,98.46,98.76,97.09,2022-11-23 05:00:00,197944
9701441.0,97.7588,98.24,97.46,98.64,97.4,2022-11-25 05:00:00,106897
26252433.0,96.2579,97.0363,96.05,97.58,95.61,2022-11-28 05:00:00,211328
20061720.0,95.1891,95.73,95.19,96.12,94.11,2022-11-29 05:00:00,203984
43647481.0,99.1314,94.82,100.99,101.04,94.42,2022-11-30 05:00:00,328424
28657536.0,101.1501,101.02,100.99,102.25,100.25,2022-12-01 05:00:00,267582
21480703.0,99.9441,99.05,100.44,100.77,98.9,2022-12-02 05:00:00,218885
24405087.0,100.0455,99.4,99.48,101.38,99.0,2022-12-05 05:00:00,243339
24910655.0,97.3962,99.3,96.98,99.78,96.42,2022-12-06 05:00:00,254681
31045449.0,95.3374,96.41,94.94,96.8811,94.715,2022-12-07 05:00:00,287447
32213288.0,94.0727,95.38,93.71,95.58,93.45,2022-12-08 05:00:00,304527
28225448.0,93.435,93.77,92.83,94.26,92.75,2022-12-09 05:00:00,284789
29009013.0,92.6673,92.71,93.31,93.56,91.61,2022-12-12 05:00:00,267695
40583656.0,96.7302,97.76,95.63,99.53,95.03,2022-12-13 05:00:00,397502
28733599.0,95.3978,95.2,95.07,96.87,93.6,2022-12-14 05:00:00,317100
40107033.0,91.0872,93.13,90.86,93.64,90.01,2022-12-15 05:00:00,357420
58011847.0,90.3169,90.76,90.26,91.33,89.52,2022-12-16 05:00:00,302391
29493030.0,89.0533,90.255,88.44,90.56,88.21,2022-12-19 05:00:00,280950
23153836.0,88.615,88.11,89.02,89.175,87.4401,2022-12-20 05:00:00,231709
24745637.0,89.5319,89.08,89.58,90.22,88.32,2022-12-21 05:00:00,220550
27658293.0,87.3826,88.16,87.76,88.54,86.32,2022-12-22 05:00:00,296134
23003035.0,88.8529,87.11,89.23,89.545,87.07,2022-12-23 05:00:00,251987
19967356.0,87.6499,88.795,87.39,88.94,87.01,2022-12-27 05:00:00,216645
19523176.0,86.4953,86.98,86.02,88.04,85.94,2022-12-28 05:00:00,210221
23333537.0,88.2397,86.62,88.45,88.845,86.61,2022-12-29 05:00:00,207481
23986297.0,87.5749,86.98,88.23,88.3,86.57,2022-12-30 05:00:00,221122
28131224.0,89.3218,89.585,89.12,91.05,88.52,2023-01-03 05:00:00,282704
34744776.0,88.2547,90.35,88.08,90.65,87.271,2023-01-04 05:00:00,367150
27194375.0,86.5585,87.47,86.2,87.57,85.9,2023-01-05 05:00:00,279558
41380495.0,86.4609,86.79,87.34,87.69,84.86,2023-01-06 05:00:00,400637
29003901.0,88.9553,88.36,88.02,90.05,87.86,2023-01-09 05:00:00,296272
30462155.0,87.7964,85.98,88.42,88.67,85.83,2023-01-10 05:00:00,301844
26861969.0,90.6538,89.18,91.52,91.6,89.01,2023-01-11 05:00:00,258611
30258135.0,91.152,91.48,91.13,91.87,89.75,2023-01-12 05:00:00,299401
26312692.0,91.4427,90.85,92.12,92.19,90.1299,2023-01-13 05:00:00,240596
32602423.0,91.2147,92.06,91.29,92.25,90.05,2023-01-17 05:00:00,293466
29116691.0,91.46,92.14,91.12,92.7999,90.64,2023-01-18 05:00:00,273966
37000395.0,92.6345,90.72,93.05,93.605,90.63,2023-01-19 05:00:00,317147
63109478.0,97.0686,95.1,98.02,98.3,95.02,2023-01-20 05:00:00,529083
40005055.0,99.3302,97.95,99.79,100.04,97.5,2023-01-23 05:00:00,382643
33078512.0,98.3538,98.1,97.7,99.61,97.2,2023-01-24 05:00:00,331016
42329952.0,94.7719,95.57,95.22,96.162,93.76,2023-01-25 05:00:00,390831
30113974.0,96.8419,96.5,97.52,97.57,95.38,2023-01-26 05:00:00,274674
33879753.0,99.2303,97.31,99.37,100.32,97.31,2023-01-27 05:00:00,300914
27226198.0,97.2083,97.48,96.94,98.29,96.395,2023-01-30 05:00:00,253145
29836169.0,98.1952,96.87,98.84,98.88,96.82,2023-01-31 05:00:00,227701
35531104.0,99.5207,98.71,100.43,101.19,97.58,2023-02-01 05:00:00,358769
69854980.0,106.587,105.8,107.74,107.85,105.61,2023-02-02 05:00:00,711992
65309261.0,105.271,102.93,104.78,107.81,102.58,2023-02-03 05:00:00,649581
