volumn,vwap,open,close,high,low,time,num_trades
4915270.0,138.0247,138.06,138.29,138.7699,136.595,2022-10-31 04:00:00,64068
3590607.0,137.852,138.25,138.2,138.65,136.7,2022-11-01 04:00:00,49408
5365264.0,137.9929,137.75,136.83,140.17,136.8,2022-11-02 04:00:00,69947
4442443.0,134.7838,136.42,134.47,136.48,133.97,2022-11-03 04:00:00,63416
4177972.0,136.3663,135.65,136.96,137.73,134.94,2022-11-04 04:00:00,60684
4043062.0,138.1593,136.64,138.34,138.7,136.51,2022-11-07 05:00:00,53417
5042756.0,140.1168,139.0,140.04,140.93,138.72,2022-11-08 05:00:00,72620
4949496.0,137.8283,137.95,137.39,138.9,136.94,2022-11-09 05:00:00,58447
5389025.0,140.4737,140.26,141.23,141.37,138.29,2022-11-10 05:00:00,74197
5871264.0,142.7932,141.5,143.17,144.13,140.96,2022-11-11 05:00:00,82784
5245624.0,144.7942,142.63,144.2,146.08,142.18,2022-11-14 05:00:00,69179
4727107.0,144.1658,144.08,144.34,146.1609,142.0,2022-11-15 05:00:00,75489
3445302.0,144.49,144.13,144.52,144.95,144.0081,2022-11-16 05:00:00,50116
3955162.0,145.3324,143.41,146.09,146.18,143.25,2022-11-17 05:00:00,55508
4661735.0,147.4003,146.56,147.64,148.31,145.94,2022-11-18 05:00:00,63164
3476208.0,147.1486,147.55,146.68,147.928,146.45,2022-11-21 05:00:00,53175
7062060.0,148.904,147.6,149.1,149.35,147.02,2022-11-22 05:00:00,62892
3658459.0,149.1458,149.1,148.75,150.46,148.3,2022-11-23 05:00:00,50623
2075156.0,148.6211,148.27,148.37,149.49,148.101,2022-11-25 05:00:00,22399
3538696.0,146.7738,147.98,146.18,148.24,145.935,2022-11-28 05:00:00,47701
2754744.0,146.3928,145.91,146.49,147.1668,145.7,2022-11-29 05:00:00,39868
6377582.0,148.3983,146.19,148.9,149.64,145.67,2022-11-30 05:00:00,53564
4495924.0,148.8503,149.98,149.16,150.01,147.34,2022-12-01 05:00:00,62392
2899995.0,148.4518,148.13,148.67,149.16,147.73,2022-12-02 05:00:00,44426
2784767.0,147.6503,147.94,147.41,148.93,146.8,2022-12-05 05:00:00,41776
2847610.0,147.2996,147.3,147.5,147.8,146.7,2022-12-06 05:00:00,50235
3971285.0,147.348,147.33,147.27,148.105,146.29,2022-12-07 05:00:00,48100
2665687.0,148.221,147.9,147.78,149.153,147.365,2022-12-08 05:00:00,45675
3047581.0,147.4984,147.4,147.05,148.34,146.97,2022-12-09 05:00:00,42724
4032780.0,148.2271,147.82,149.21,149.21,146.9426,2022-12-12 05:00:00,54226
8811553.0,151.1731,150.37,150.57,153.21,149.95,2022-12-13 05:00:00,109809
4205878.0,150.2681,150.47,149.86,151.91,148.45,2022-12-14 05:00:00,57420
