volumn,vwap,open,close,high,low,time,num_trades
59507744.0,28.5492,29.08,28.43,29.18,28.05,2022-10-31 04:00:00,259966
44418730.0,28.3153,28.8,28.3,28.85,27.89,2022-11-01 04:00:00,235070
51956099.0,28.079,28.27,27.42,28.85,27.41,2022-11-02 04:00:00,252544
39678189.0,27.5295,27.45,27.39,27.88,27.17,2022-11-03 04:00:00,201917
43051927.0,27.9405,27.57,28.2,28.235,27.41,2022-11-04 04:00:00,210943
34389783.0,28.2355,28.36,28.41,28.465,27.89,2022-11-07 05:00:00,162647
36257963.0,28.5514,28.755,28.48,28.95,27.93,2022-11-08 05:00:00,176454
30543746.0,27.6993,28.22,27.52,28.3,27.52,2022-11-09 05:00:00,145217
62943924.0,29.3732,28.88,29.76,29.83,28.645,2022-11-10 05:00:00,252012
49826517.0,30.0263,28.925,30.43,30.63,28.87,2022-11-11 05:00:00,247747
39372839.0,30.5865,30.34,30.35,30.99,30.18,2022-11-14 05:00:00,182952
40933223.0,30.8269,31.095,30.71,31.335,30.165,2022-11-15 05:00:00,211340
35582751.0,29.715,30.1101,29.53,30.23,29.44,2022-11-16 05:00:00,162678
31983238.0,29.6786,29.065,29.89,29.95,29.0,2022-11-17 05:00:00,161847
27122210.0,29.8704,30.26,29.87,30.26,29.61,2022-11-18 05:00:00,119001
36086768.0,29.087,29.66,28.94,29.715,28.91,2022-11-21 05:00:00,159477
25584062.0,29.5463,29.135,29.82,29.86,29.0558,2022-11-22 05:00:00,120213
23143868.0,29.7423,29.73,29.67,30.08,29.49,2022-11-23 05:00:00,125641
11314878.0,29.4704,29.68,29.34,29.68,29.335,2022-11-25 05:00:00,67105
28282116.0,28.7942,29.1,28.725,29.19,28.54,2022-11-28 05:00:00,148956
24361493.0,28.9157,28.85,28.9,29.18,28.74,2022-11-29 05:00:00,124156
72072532.0,29.5212,28.77,30.07,30.08,28.22,2022-11-30 05:00:00,228699
38896309.0,29.8726,30.24,29.83,30.48,29.52,2022-12-01 05:00:00,182092
31545955.0,29.1252,29.17,29.41,29.43,28.71,2022-12-02 05:00:00,187596
34040384.0,29.2703,29.42,29.17,29.75,28.89,2022-12-05 05:00:00,157984
27701186.0,28.6953,29.19,28.6,29.31,28.3436,2022-12-06 05:00:00,145722
28239933.0,28.3449,28.28,28.33,28.55,28.15,2022-12-07 05:00:00,137380
28486091.0,28.4296,28.32,28.44,28.6,28.065,2022-12-08 05:00:00,141059
25641349.0,28.4227,28.39,28.24,28.78,28.19,2022-12-09 05:00:00,136482
35117866.0,28.3914,28.13,28.69,28.71,27.8588,2022-12-12 05:00:00,142556
58546839.0,28.9225,29.79,28.73,30.09,28.37,2022-12-13 05:00:00,241146
37141077.0,28.4821,28.51,28.26,29.12,28.01,2022-12-14 05:00:00,191981
45682654.0,27.2944,27.94,27.15,28.0,27.12,2022-12-15 05:00:00,221549
81104229.0,26.8365,27.0,26.92,27.135,26.4522,2022-12-16 05:00:00,213065
37662461.0,26.7342,26.9,26.79,26.97,26.5,2022-12-19 05:00:00,150185
31863274.0,26.546,26.535,26.44,26.87,26.4201,2022-12-20 05:00:00,147970
28100906.0,26.8091,26.59,26.83,26.97,26.58,2022-12-21 05:00:00,128108
47478307.0,25.8243,26.45,25.97,26.452,25.35,2022-12-22 05:00:00,207862
23600916.0,25.9776,25.92,26.09,26.19,25.6835,2022-12-23 05:00:00,120254
29548058.0,25.9438,25.845,25.94,26.1,25.65,2022-12-27 05:00:00,138016
26176917.0,25.6716,25.84,25.54,26.115,25.5,2022-12-28 05:00:00,134732
30944829.0,26.1329,25.77,26.21,26.29,25.75,2022-12-29 05:00:00,139312
31030094.0,26.2045,25.902,26.43,26.46,25.8,2022-12-30 05:00:00,140366
31307955.0,26.7105,27.045,26.73,27.07,26.37,2023-01-03 05:00:00,163701
37665199.0,27.603,27.41,27.68,27.92,27.16,2023-01-04 05:00:00,186449
33552552.0,27.5636,27.435,27.56,27.779,27.38,2023-01-05 05:00:00,139446
31788634.0,28.4158,27.93,28.73,28.83,27.38,2023-01-06 05:00:00,156926
37493157.0,29.4056,28.84,29.31,29.865,28.84,2023-01-09 05:00:00,177836
23008080.0,29.2896,29.235,29.44,29.51,28.915,2023-01-10 05:00:00,121991
30375377.0,29.5411,29.68,29.85,29.88,29.0,2023-01-11 05:00:00,147732
28963879.0,30.0838,29.98,30.29,30.38,29.47,2023-01-12 05:00:00,150577
31361937.0,30.0419,29.97,30.11,30.17,29.81,2023-01-13 05:00:00,132775
34759080.0,29.7907,30.18,29.6,30.2557,29.52,2023-01-17 05:00:00,163287
44199580.0,28.9457,29.8,28.81,29.82,28.63,2023-01-18 05:00:00,209228
36886615.0,28.4671,28.61,28.42,28.755,28.24,2023-01-19 05:00:00,150752
35158497.0,28.8495,28.42,29.22,29.23,28.25,2023-01-20 05:00:00,141530
38795838.0,30.0163,29.325,30.27,30.49,29.18,2023-01-23 05:00:00,184396
24759130.0,29.9059,29.94,29.92,30.19,29.73,2023-01-24 05:00:00,139260
28268023.0,29.6037,29.52,29.7,29.885,29.17,2023-01-25 05:00:00,144255
56088080.0,29.2481,30.06,30.09,30.11,29.33,2023-01-26 05:00:00,282082
148548189.0,27.6655,27.07,28.16,28.24,26.78,2023-01-27 05:00:00,636787
55145771.0,28.0065,27.715,27.95,28.51,27.67,2023-01-30 05:00:00,240632
52621578.0,28.0271,27.78,28.26,28.29,27.53,2023-01-31 05:00:00,197470
