volumn,vwap,open,close,high,low,time,num_trades
121136644.0,94.2319,98.22,93.16,99.32,92.6,2022-10-31 04:00:00,951643
110094417.0,95.463,94.33,95.2,97.49,93.55,2022-11-01 04:00:00,735796
71794472.0,92.9141,94.205,90.54,95.2,90.48,2022-11-02 04:00:00,587097
60664012.0,89.357,90.08,88.91,90.4576,88.41,2022-11-03 04:00:00,503016
55605061.0,89.7507,90.35,90.79,91.39,88.09,2022-11-04 04:00:00,437599
81987295.0,95.4604,94.78,96.72,96.88,93.1,2022-11-07 05:00:00,596421
52088320.0,96.1836,95.92,96.47,97.8,94.79,2022-11-08 05:00:00,422585
107677235.0,102.7223,101.72,101.47,104.9,100.74,2022-11-09 05:00:00,843144
80570961.0,109.4353,107.12,111.87,112.75,104.61,2022-11-10 05:00:00,678830
59926142.0,112.7038,109.23,113.02,114.9,108.81,2022-11-11 05:00:00,496469
53394974.0,114.3773,110.99,114.22,116.27,110.8,2022-11-14 05:00:00,385311
50653499.0,116.9988,116.07,117.08,118.74,114.4116,2022-11-15 05:00:00,421760
33287773.0,113.6085,114.5,113.23,116.075,112.66,2022-11-16 05:00:00,274745
35093822.0,111.3019,110.41,111.45,112.33,109.8,2022-11-17 05:00:00,284093
33357707.0,112.2559,113.8,112.05,114.32,110.62,2022-11-18 05:00:00,259579
24351074.0,110.2423,111.52,109.86,112.3699,109.19,2022-11-21 05:00:00,226749
29028963.0,110.3557,109.86,111.44,111.62,108.3216,2022-11-22 05:00:00,236543
21343083.0,111.955,111.72,112.24,112.67,110.73,2022-11-23 05:00:00,196118
12007566.0,111.532,111.3,111.41,112.73,111.02,2022-11-25 05:00:00,115714
23332816.0,109.4876,110.78,108.78,112.04,108.38,2022-11-28 05:00:00,227168
23899238.0,109.6168,109.54,109.46,110.94,108.5437,2022-11-29 05:00:00,223338
43348557.0,114.6127,109.505,118.1,118.16,109.38,2022-11-30 05:00:00,374670
36551374.0,119.9685,119.198,120.44,121.2,118.4,2022-12-01 05:00:00,334504
39950464.0,122.0064,117.83,123.49,124.04,117.61,2022-12-02 05:00:00,359062
35474884.0,122.7441,121.75,122.43,124.67,121.35,2022-12-05 05:00:00,298476
43689183.0,115.4845,119.91,114.12,120.55,113.74,2022-12-06 05:00:00,396026
29461137.0,113.974,113.76,113.93,115.88,112.88,2022-12-07 05:00:00,258992
30619418.0,115.5962,116.39,115.33,117.34,114.59,2022-12-08 05:00:00,251557
26033353.0,116.1099,115.3,115.9,117.54,113.87,2022-12-09 05:00:00,225861
24747064.0,114.3243,115.18,114.71,115.72,113.14,2022-12-12 05:00:00,213233
44701054.0,120.8091,122.13,120.15,123.3,118.64,2022-12-13 05:00:00,403939
36922037.0,121.8685,119.39,121.59,124.14,119.39,2022-12-14 05:00:00,345857
