volumn,vwap,open,close,high,low,time,num_trades
28357265.0,232.713,233.76,232.13,234.92,231.15,2022-10-31 04:00:00,310749
30582271.0,229.2736,234.6,228.17,235.74,227.325,2022-11-01 04:00:00,355473
38400237.0,224.7701,229.46,220.1,231.3,220.04,2022-11-02 04:00:00,463714
36633922.0,216.6521,220.09,214.25,220.41,213.98,2022-11-03 04:00:00,461770
36789063.0,218.3495,217.55,221.39,221.59,213.431,2022-11-04 04:00:00,410751
33497979.0,225.8583,221.99,227.87,228.41,221.28,2022-11-07 05:00:00,346832
28192548.0,229.2191,228.7,228.87,231.65,225.84,2022-11-08 05:00:00,328460
27851835.0,225.9814,227.37,224.51,228.6327,224.33,2022-11-09 05:00:00,275026
46268021.0,239.8423,235.43,242.98,243.33,235.0,2022-11-10 05:00:00,490190
34620246.0,245.5838,242.99,247.11,247.99,241.93,2022-11-11 05:00:00,368001
31123340.0,242.0967,241.985,241.55,243.91,239.21,2022-11-14 05:00:00,351680
31380517.0,243.3448,245.66,241.97,247.0,240.03,2022-11-15 05:00:00,377449
24093272.0,242.0599,242.79,241.73,243.8,240.42,2022-11-16 05:00:00,270175
23123544.0,241.2058,237.78,241.68,243.25,237.63,2022-11-17 05:00:00,267476
27613523.0,240.7679,243.51,241.22,243.74,239.03,2022-11-18 05:00:00,265827
26393200.0,242.283,241.43,242.05,244.67,241.19,2022-11-21 05:00:00,270839
19665699.0,243.6504,243.59,245.03,245.31,240.71,2022-11-22 05:00:00,216514
19508462.0,246.8767,245.105,247.58,248.28,244.27,2022-11-23 05:00:00,229081
9200772.0,247.6767,247.31,247.49,248.7,246.73,2022-11-25 05:00:00,126714
24810271.0,242.5337,246.08,241.76,246.65,240.8,2022-11-28 05:00:00,273059
17956313.0,240.2757,241.4,240.33,242.79,238.21,2022-11-29 05:00:00,222057
47594239.0,250.4124,240.57,255.14,255.33,239.86,2022-11-30 05:00:00,448911
26028524.0,254.3605,253.87,254.69,256.12,250.9156,2022-12-01 05:00:00,352798
21528520.0,253.1141,249.82,255.02,256.06,249.69,2022-12-02 05:00:00,278398
23435294.0,250.6795,252.01,250.2,253.819,248.06,2022-12-05 05:00:00,276722
22463727.0,246.1697,250.82,245.12,251.86,243.78,2022-12-06 05:00:00,274238
20479222.0,244.4617,244.83,244.37,246.16,242.205,2022-12-07 05:00:00,226749
22611757.0,246.7518,244.84,247.4,248.74,243.06,2022-12-08 05:00:00,248284
20609743.0,246.2204,244.695,245.42,248.31,244.16,2022-12-09 05:00:00,238476
30665069.0,250.9043,247.445,252.51,252.54,247.17,2022-12-12 05:00:00,325566
42192634.0,258.0996,261.69,256.92,263.915,253.07,2022-12-13 05:00:00,486403
35376633.0,258.7836,257.13,257.22,262.588,254.31,2022-12-14 05:00:00,458426
35568093.0,249.5733,253.72,249.01,254.2,247.34,2022-12-15 05:00:00,380775
86101994.0,245.2971,248.55,244.69,249.84,243.51,2022-12-16 05:00:00,388901
29696436.0,240.6751,244.86,240.45,245.21,238.71,2022-12-19 05:00:00,333301
25115802.0,241.363,239.4,241.8,242.91,238.42,2022-12-20 05:00:00,255790
23690607.0,244.0321,241.69,244.43,245.615,240.11,2022-12-21 05:00:00,249789
28651664.0,237.1404,241.255,238.19,241.99,233.87,2022-12-22 05:00:00,349537
21206982.0,237.2671,236.11,238.73,238.87,233.9428,2022-12-23 05:00:00,258172
16688648.0,237.264,238.7,236.96,238.93,235.83,2022-12-27 05:00:00,226696
17457104.0,236.25,236.89,234.53,239.72,234.17,2022-12-28 05:00:00,215793
19770693.0,240.1837,235.65,241.01,241.92,235.65,2022-12-29 05:00:00,224833
21938472.0,238.6986,238.21,239.82,239.96,236.66,2022-12-30 05:00:00,244268
25740036.0,239.8394,243.08,239.58,245.75,237.4,2023-01-03 05:00:00,314904
50623394.0,228.5518,232.275,229.1,232.87,225.96,2023-01-04 05:00:00,679231
39577823.0,223.604,227.2,222.31,227.55,221.7602,2023-01-05 05:00:00,471302
43613574.0,223.3788,223.0,224.93,225.7601,219.35,2023-01-06 05:00:00,495762
27369784.0,228.5989,226.45,227.12,231.2366,226.41,2023-01-09 05:00:00,363680
27033881.0,228.7878,227.755,228.85,231.31,227.33,2023-01-10 05:00:00,334659
28633081.0,233.9843,231.29,235.77,235.95,231.11,2023-01-11 05:00:00,340052
27269486.0,237.813,235.26,238.51,239.9,233.56,2023-01-12 05:00:00,400489
21333265.0,237.4748,237.002,239.23,239.37,234.92,2023-01-13 05:00:00,300118
29831257.0,239.6706,237.97,240.35,240.91,237.09,2023-01-17 05:00:00,370168
30028692.0,237.875,241.565,235.81,242.38,235.52,2023-01-18 05:00:00,377927
28592433.0,232.5374,233.78,231.93,235.52,230.68,2023-01-19 05:00:00,362262
35249809.0,238.2032,234.855,240.22,240.74,234.51,2023-01-20 05:00:00,364051
31933951.0,242.7509,241.1,242.58,245.165,239.65,2023-01-23 05:00:00,413335
40218444.0,243.7867,242.5,242.04,243.95,240.44,2023-01-24 05:00:00,512442
66526641.0,237.4755,234.48,240.61,243.3,230.9,2023-01-25 05:00:00,745426
33454491.0,245.411,243.65,248.0,248.31,242.0,2023-01-26 05:00:00,401891
26498939.0,248.3935,248.99,248.16,249.83,246.83,2023-01-27 05:00:00,336282
25867365.0,243.2164,244.51,242.71,245.6,242.2,2023-01-30 05:00:00,308895
