volumn,vwap,open,close,high,low,time,num_trades
12348964.0,77.7632,76.5,78.07,78.33,76.4,2022-10-31 04:00:00,105161
7752961.0,77.2217,78.6,77.11,79.23,76.34,2022-11-01 04:00:00,80103
7524547.0,76.0229,76.65,75.12,77.43,75.005,2022-11-02 04:00:00,82179
6761242.0,75.0312,74.72,75.03,75.69,74.05,2022-11-03 04:00:00,76064
7218982.0,75.5421,75.94,76.0,76.67,74.24,2022-11-04 04:00:00,82765
5394281.0,76.3041,76.11,76.74,77.09,75.49,2022-11-07 05:00:00,63218
9104244.0,75.7956,76.95,75.64,77.14,75.02,2022-11-08 05:00:00,101112
6041078.0,75.9307,75.38,75.66,76.54,75.0,2022-11-09 05:00:00,73944
10437314.0,77.3099,77.7,77.17,78.4725,76.71,2022-11-10 05:00:00,107023
7712925.0,77.4139,77.13,77.74,77.8911,76.57,2022-11-11 05:00:00,92331
7152952.0,78.6659,77.48,78.53,79.535,77.335,2022-11-14 05:00:00,76993
7618478.0,79.5724,78.93,79.18,80.675,78.01,2022-11-15 05:00:00,89184
6011890.0,79.7358,79.12,79.89,80.23,78.865,2022-11-16 05:00:00,69765
5717402.0,78.9917,79.17,79.2,79.575,78.19,2022-11-17 05:00:00,67796
6106989.0,79.5443,80.0,79.73,80.46,78.85,2022-11-18 05:00:00,58226
5235554.0,79.6862,79.57,79.82,80.1,78.9,2022-11-21 05:00:00,54625
8796154.0,81.641,79.89,82.12,82.21,79.83,2022-11-22 05:00:00,90126
6347899.0,82.5357,82.12,82.56,82.92,81.78,2022-11-23 05:00:00,56828
2754876.0,83.0158,82.85,82.72,83.485,82.535,2022-11-25 05:00:00,29447
5113103.0,81.5386,82.11,81.39,82.14,81.07,2022-11-28 05:00:00,59042
4928270.0,80.8167,81.33,80.85,81.5,80.52,2022-11-29 05:00:00,50515
9610329.0,82.3612,80.47,83.03,83.175,80.0,2022-11-30 05:00:00,67358
6127308.0,83.73,83.05,84.11,84.53,82.35,2022-12-01 05:00:00,65961
4798927.0,83.2269,83.2,83.35,83.62,82.58,2022-12-02 05:00:00,54905
9102943.0,80.2933,82.41,79.43,82.42,79.41,2022-12-05 05:00:00,94647
7656126.0,78.7593,79.35,78.91,79.82,78.06,2022-12-06 05:00:00,86486
5105512.0,78.929,78.67,78.78,79.445,78.58,2022-12-07 05:00:00,54652
5918748.0,79.7927,79.13,80.07,80.21,78.53,2022-12-08 05:00:00,72277
6850806.0,79.9793,79.65,79.86,80.36,79.54,2022-12-09 05:00:00,75987
15807550.0,80.9919,80.31,81.28,81.41,79.935,2022-12-12 05:00:00,135915
22812160.0,82.0595,84.94,80.56,85.58,79.7,2022-12-13 05:00:00,213301
11183148.0,81.9402,80.81,81.82,82.89,80.57,2022-12-14 05:00:00,120119
8198939.0,80.1605,80.79,80.07,81.03,79.46,2022-12-15 05:00:00,95151
19200747.0,79.7146,79.96,79.58,80.46,79.48,2022-12-16 05:00:00,97273
7738813.0,80.448,79.92,80.5,81.1,79.68,2022-12-19 05:00:00,83334
6390180.0,80.9852,80.5,80.94,81.49,80.35,2022-12-20 05:00:00,61243
5932395.0,81.5728,81.35,81.5,82.14,80.94,2022-12-21 05:00:00,57011
8182431.0,80.2254,80.94,80.49,81.17,79.43,2022-12-22 05:00:00,70333
4129226.0,80.571,80.51,80.85,80.9,79.99,2022-12-23 05:00:00,44583
4290843.0,80.9899,80.88,80.98,81.47,80.605,2022-12-27 05:00:00,47628
3794094.0,80.7176,81.09,80.33,81.6399,80.195,2022-12-28 05:00:00,47449
3867801.0,81.4292,80.97,81.4,81.8,80.7,2022-12-29 05:00:00,43301
5375702.0,81.4382,81.13,81.74,81.93,80.76,2022-12-30 05:00:00,52537
8997534.0,83.1928,82.47,83.72,83.84,82.26,2023-01-03 05:00:00,87854
7836238.0,84.4708,84.2,84.48,85.17,83.64,2023-01-04 05:00:00,85369
7643784.0,84.047,85.0,84.31,85.4,83.22,2023-01-05 05:00:00,78010
8641597.0,85.6084,84.74,85.66,86.34,83.82,2023-01-06 05:00:00,77514
7519836.0,86.8337,86.84,86.42,87.59,86.16,2023-01-09 05:00:00,84468
5703270.0,86.2702,85.64,86.5,86.61,85.57,2023-01-10 05:00:00,63617
8359667.0,87.9632,87.37,88.6,88.66,87.09,2023-01-11 05:00:00,72914
6071099.0,88.7468,88.7,88.78,89.195,88.17,2023-01-12 05:00:00,72615
5090938.0,88.8042,87.95,89.2,89.4662,87.66,2023-01-13 05:00:00,60511
6550412.0,88.8336,89.19,88.6,89.44,88.425,2023-01-17 05:00:00,76831
6397707.0,87.5727,88.6,86.71,88.63,86.6,2023-01-18 05:00:00,74362
5597039.0,85.9912,86.4,85.94,86.99,85.255,2023-01-19 05:00:00,59490
5567493.0,86.735,86.03,87.25,87.38,85.495,2023-01-20 05:00:00,56025
7390256.0,88.6693,87.19,88.97,89.13,86.97,2023-01-23 05:00:00,75907
7004581.0,89.4463,89.05,89.7,90.095,88.0,2023-01-24 05:00:00,71772
5896812.0,89.058,88.7,89.64,89.86,87.74,2023-01-25 05:00:00,71385
7302869.0,89.6149,89.89,89.83,90.49,89.09,2023-01-26 05:00:00,62110
5676836.0,89.351,89.5,88.99,89.72,88.96,2023-01-27 05:00:00,60858
6255306.0,87.4586,88.47,87.35,88.62,86.99,2023-01-30 05:00:00,69429
6200413.0,88.141,87.69,88.46,88.48,87.35,2023-01-31 05:00:00,50578
6141252.0,89.5836,88.37,90.05,90.645,88.21,2023-02-01 05:00:00,73668
8269151.0,89.6689,90.66,89.38,91.22,88.945,2023-02-02 05:00:00,99052
5671823.0,89.5228,88.47,89.62,90.255,88.27,2023-02-03 05:00:00,67032
4097311.0,88.749,89.51,88.53,89.61,88.4,2023-02-06 05:00:00,55865
9226071.0,87.5262,87.87,87.74,88.02,86.3,2023-02-07 05:00:00,88067
7624398.0,86.9014,86.93,86.69,87.915,86.51,2023-02-08 05:00:00,74021
4960391.0,86.9321,87.14,86.65,87.9,86.325,2023-02-09 05:00:00,55498
5318403.0,87.0411,86.53,87.14,87.38,86.335,2023-02-10 05:00:00,58518
5560902.0,88.7227,87.28,89.42,89.45,87.2,2023-02-13 05:00:00,64080
7484776.0,88.8076,89.0,89.09,89.41,87.71,2023-02-14 05:00:00,72797
4330547.0,88.4828,88.85,88.34,89.21,88.03,2023-02-15 05:00:00,50062
5942533.0,87.7424,87.46,87.72,88.27,87.0126,2023-02-16 05:00:00,49776
6398487.0,87.1017,87.2,87.28,87.43,86.51,2023-02-17 05:00:00,48680
5260328.0,86.4712,86.76,86.2,86.94,86.15,2023-02-21 05:00:00,55762
5840102.0,86.4539,86.68,86.32,87.18,85.98,2023-02-22 05:00:00,54699
8637135.0,88.4145,87.15,88.58,89.48,87.06,2023-02-23 05:00:00,99088
7659188.0,88.323,87.31,88.66,88.89,87.14,2023-02-24 05:00:00,77569
6748861.0,87.9691,88.86,87.96,88.97,87.36,2023-02-27 05:00:00,66214
7468234.0,87.4807,87.7,87.4,88.01,87.18,2023-02-28 05:00:00,56958
5119757.0,86.4366,86.9,86.34,87.21,85.99,2023-03-01 05:00:00,66628
5293599.0,86.7036,86.06,86.97,87.28,85.87,2023-03-02 05:00:00,60510
5498531.0,88.7615,87.32,89.25,89.29,87.08,2023-03-03 05:00:00,60426
7424800.0,89.9636,89.41,89.74,90.665,89.15,2023-03-06 05:00:00,78799
5382366.0,88.6554,89.58,88.36,90.08,88.05,2023-03-07 05:00:00,60901
5159208.0,88.5659,88.4,88.49,89.085,88.15,2023-03-08 05:00:00,62152
10572293.0,87.2472,88.33,86.87,89.64,86.53,2023-03-09 05:00:00,101378
16029345.0,83.9465,84.41,84.07,85.25,82.88,2023-03-10 05:00:00,167953
10299942.0,84.705,83.32,84.93,85.53,82.04,2023-03-13 04:00:00,108570
8732248.0,84.5696,85.93,84.56,85.93,83.43,2023-03-14 04:00:00,94411
11463010.0,82.5883,83.08,82.98,83.37,82.12,2023-03-15 04:00:00,123045
10149163.0,83.9036,82.92,84.82,85.11,82.08,2023-03-16 04:00:00,104200
13066028.0,85.2317,85.0,85.26,85.98,84.61,2023-03-17 04:00:00,85968
9177289.0,86.9076,85.28,86.96,87.51,85.25,2023-03-20 04:00:00,83340
6683731.0,87.3604,87.49,87.58,87.8482,86.66,2023-03-21 04:00:00,70007
7233663.0,88.2892,87.54,87.9,89.16,87.44,2023-03-22 04:00:00,79423
10747139.0,88.6116,88.65,87.78,89.64,87.64,2023-03-23 04:00:00,93504
5852248.0,87.9514,87.98,88.01,88.48,87.51,2023-03-24 04:00:00,63852
8170050.0,89.7978,88.62,90.14,90.5,88.545,2023-03-27 04:00:00,78005
6378927.0,90.0177,90.22,89.85,90.88,89.48,2023-03-28 04:00:00,68713
5233647.0,90.3927,90.13,90.62,90.66,89.81,2023-03-29 04:00:00,57668
5640690.0,90.369,90.85,90.51,91.18,89.71,2023-03-30 04:00:00,57652
10476333.0,92.2353,90.56,92.92,93.0,90.41,2023-03-31 04:00:00,95116
8410872.0,93.3663,92.38,93.92,94.0,92.09,2023-04-03 04:00:00,76650
6651475.0,93.6834,93.85,94.0,94.02,92.93,2023-04-04 04:00:00,66111
7478750.0,94.5795,93.62,94.89,95.108,93.48,2023-04-05 04:00:00,71305
9146244.0,95.1404,94.33,95.92,96.08,93.99,2023-04-06 04:00:00,83313
8681735.0,93.9858,94.68,93.76,95.11,93.55,2023-04-10 04:00:00,95052
8196049.0,93.8591,93.46,93.97,94.13,93.2,2023-04-11 04:00:00,88512
8040306.0,94.3731,94.38,93.9,95.32,93.595,2023-04-12 04:00:00,90775
6240215.0,95.218,94.18,95.55,95.745,93.94,2023-04-13 04:00:00,59220
6485060.0,95.5022,95.5,95.71,95.99,94.68,2023-04-14 04:00:00,76458
4772486.0,95.6176,95.64,95.59,95.99,95.31,2023-04-17 04:00:00,52740
7219366.0,96.3158,96.0,96.47,96.7413,95.7749,2023-04-18 04:00:00,72753
4766371.0,95.9311,95.59,95.81,96.47,95.59,2023-04-19 04:00:00,53099
5815527.0,95.0283,96.0,94.83,96.15,94.6,2023-04-20 04:00:00,63468
7335787.0,94.8857,95.01,95.15,95.31,94.26,2023-04-21 04:00:00,68704
4901783.0,95.3732,95.34,95.44,96.075,94.97,2023-04-24 04:00:00,57576
5768842.0,94.521,95.14,94.06,95.7,94.02,2023-04-25 04:00:00,63868
6395726.0,93.9481,93.75,93.71,94.81,93.34,2023-04-26 04:00:00,62430
5615746.0,94.4439,94.31,95.04,95.09,93.2906,2023-04-27 04:00:00,61238
8498551.0,94.8034,94.27,94.72,95.4,94.24,2023-04-28 04:00:00,77561
5459865.0,95.0985,94.8,94.87,95.73,94.7,2023-05-01 04:00:00,59139
5995080.0,94.5895,94.93,94.8,95.24,93.85,2023-05-02 04:00:00,67135
6744810.0,94.9105,95.07,94.78,95.42,94.54,2023-05-03 04:00:00,73709
5038200.0,94.8233,94.98,94.97,95.12,94.41,2023-05-04 04:00:00,59736
8068571.0,96.6741,95.0,96.97,97.31,94.83,2023-05-05 04:00:00,76930
5314753.0,96.7719,97.08,96.79,97.28,96.44,2023-05-08 04:00:00,56562
6333498.0,96.3632,96.2,96.14,96.89,96.1,2023-05-09 04:00:00,74252
5935280.0,97.0992,96.79,97.52,97.675,96.256,2023-05-10 04:00:00,65973
5144541.0,97.2448,97.54,97.44,97.63,96.335,2023-05-11 04:00:00,64253
4994703.0,97.4893,97.61,97.85,97.92,96.93,2023-05-12 04:00:00,63434
4443811.0,97.4436,97.87,97.26,97.96,97.045,2023-05-15 04:00:00,59960
6898204.0,98.2734,97.17,98.25,98.845,96.92,2023-05-16 04:00:00,73377
9436009.0,99.7393,98.78,99.77,100.4,98.43,2023-05-17 04:00:00,96208
10005725.0,101.4836,99.77,102.34,102.46,99.73,2023-05-18 04:00:00,103142
8560257.0,102.7713,102.39,102.84,103.07,101.92,2023-05-19 04:00:00,82908
5890481.0,102.138,102.48,101.77,103.1,101.73,2023-05-22 04:00:00,71699
10047261.0,99.548,101.07,98.54,101.43,98.465,2023-05-23 04:00:00,114480
6815861.0,98.2936,97.95,98.32,98.88,97.29,2023-05-24 04:00:00,76453
16729608.0,102.912,99.2,104.29,104.66,98.77,2023-05-25 04:00:00,166003
13994064.0,104.6824,104.35,104.08,106.23,104.03,2023-05-26 04:00:00,144535
10296707.0,105.1695,104.9,105.15,105.98,104.19,2023-05-30 04:00:00,111918
13713520.0,105.7302,104.47,105.94,106.49,104.15,2023-05-31 04:00:00,104035
7835885.0,105.7487,104.88,105.99,106.61,104.78,2023-06-01 04:00:00,94048
8652377.0,106.2704,106.52,105.89,106.77,105.75,2023-06-02 04:00:00,102655
7997781.0,106.8525,105.89,106.93,107.6,105.51,2023-06-05 04:00:00,89192
7022994.0,107.0593,106.81,107.1,107.49,106.15,2023-06-06 04:00:00,89835
9842484.0,105.8558,107.14,105.25,108.37,104.835,2023-06-07 04:00:00,112486
9529126.0,107.1823,105.67,107.48,107.785,105.35,2023-06-08 04:00:00,107470
12593073.0,109.5998,107.7,109.85,110.15,107.41,2023-06-09 04:00:00,138289
39532005.0,116.7714,114.34,116.43,117.51,114.34,2023-06-12 04:00:00,377063
39190916.0,119.2839,123.32,116.68,123.99,116.02,2023-06-13 04:00:00,384047
26264249.0,121.2075,116.5,122.27,122.51,115.74,2023-06-14 04:00:00,268343
27476726.0,125.4012,121.95,126.55,127.54,121.66,2023-06-15 04:00:00,260696
19514667.0,125.8943,127.14,125.46,127.4,125.15,2023-06-16 04:00:00,167265
16280340.0,123.0974,124.45,122.04,125.25,121.96,2023-06-20 04:00:00,171741
17582950.0,121.9334,121.95,122.1,123.36,120.36,2023-06-21 04:00:00,163374
12204559.0,120.8428,121.61,120.58,122.59,120.07,2023-06-22 04:00:00,138590
19734336.0,118.7505,119.59,118.64,119.9,118.14,2023-06-23 04:00:00,159527
8987034.0,117.5614,117.99,116.78,119.425,116.7,2023-06-26 04:00:00,95436
6970420.0,117.7371,116.57,117.84,118.46,116.26,2023-06-27 04:00:00,88345
9240450.0,117.3116,116.78,116.53,118.62,116.39,2023-06-28 04:00:00,108337
9234347.0,116.4371,115.65,117.78,117.8,114.63,2023-06-29 04:00:00,118843
13703101.0,119.8931,119.84,119.09,121.725,119.0301,2023-06-30 04:00:00,172240
4284699.0,117.329,118.01,117.15,118.25,116.825,2023-07-03 04:00:00,62205
8471859.0,115.9436,116.52,115.96,117.01,115.41,2023-07-05 04:00:00,127118
7987217.0,115.2581,114.665,115.45,115.81,114.64,2023-07-06 04:00:00,92060
7001618.0,114.9709,114.84,114.61,115.98,114.49,2023-07-07 04:00:00,82179
6931013.0,114.1636,114.28,114.38,115.03,113.66,2023-07-10 04:00:00,91256
6118606.0,114.4644,114.195,114.88,115.0,113.43,2023-07-11 04:00:00,84545
11011586.0,116.5994,115.67,116.02,118.09,115.64,2023-07-12 04:00:00,119928
9359604.0,117.6329,117.09,117.45,118.58,116.76,2023-07-13 04:00:00,111652
7723843.0,119.0243,118.18,119.27,119.97,117.68,2023-07-14 04:00:00,97067
6736825.0,119.0246,118.85,118.89,119.97,118.2533,2023-07-17 04:00:00,90966
8906658.0,120.181,118.78,120.77,121.29,117.81,2023-07-18 04:00:00,123080
7609014.0,119.4479,120.82,118.69,121.355,118.42,2023-07-19 04:00:00,107535
12913026.0,116.2768,117.49,115.88,119.05,115.23,2023-07-20 04:00:00,139908
9159643.0,118.032,116.49,117.65,119.27,116.21,2023-07-21 04:00:00,114370
6200394.0,117.9925,117.94,118.07,118.54,116.73,2023-07-24 04:00:00,76874
6266278.0,117.8192,117.98,117.95,118.514,116.81,2023-07-25 04:00:00,81629
8159988.0,115.9381,117.42,115.5,117.62,115.0,2023-07-26 04:00:00,111781
7843027.0,116.4448,117.55,116.4,117.6,115.64,2023-07-27 04:00:00,91913
6912012.0,116.1219,116.68,115.99,117.3,115.65,2023-07-28 04:00:00,87794
6708458.0,116.8379,116.43,117.23,117.24,115.83,2023-07-31 04:00:00,80447
5250652.0,117.4091,116.92,117.91,118.04,116.475,2023-08-01 04:00:00,74983
6387789.0,115.62,116.92,115.71,116.98,114.32,2023-08-02 04:00:00,88090
5215848.0,114.9502,115.24,114.55,116.17,114.26,2023-08-03 04:00:00,70450
5579319.0,115.1156,115.34,114.44,116.4,114.255,2023-08-04 04:00:00,78827
7347041.0,115.7827,115.47,116.1,116.38,115.07,2023-08-07 04:00:00,84099
4694781.0,114.8698,115.04,115.23,115.61,114.22,2023-08-08 04:00:00,68320
6542427.0,113.3688,115.34,113.1,115.71,112.33,2023-08-09 04:00:00,91029
6004125.0,113.2739,113.78,112.99,115.0948,112.48,2023-08-10 04:00:00,86532
5288879.0,112.6648,112.39,113.06,113.48,111.13,2023-08-11 04:00:00,82710
6494216.0,115.1163,113.18,115.57,115.8062,113.15,2023-08-14 04:00:00,79119
10412160.0,116.9347,115.45,117.29,118.059,114.84,2023-08-15 04:00:00,132077
5721951.0,116.347,117.16,115.34,117.81,115.27,2023-08-16 04:00:00,75606
6183897.0,115.536,115.74,114.88,116.78,114.36,2023-08-17 04:00:00,74364
9412775.0,115.9617,114.5,116.46,116.99,113.95,2023-08-18 04:00:00,106773
5811160.0,116.4507,116.9,116.59,117.35,115.19,2023-08-21 04:00:00,77451
4961062.0,116.516,117.51,116.54,117.68,115.73,2023-08-22 04:00:00,62863
16517285.0,117.7662,117.1,117.84,120.45,112.1098,2023-08-23 04:00:00,195667
11995894.0,114.4896,119.68,112.91,119.73,112.41,2023-08-24 04:00:00,146553
8758141.0,115.2262,112.91,116.06,116.148,112.74,2023-08-25 04:00:00,111504
4514753.0,116.7543,116.37,116.84,117.71,115.7,2023-08-28 04:00:00,67160
11920537.0,120.1126,120.95,120.65,121.2099,118.53,2023-08-29 04:00:00,132187
5601778.0,121.0032,120.72,121.12,121.7363,120.15,2023-08-30 04:00:00,78853
9109806.0,120.5166,121.0,120.39,121.98,120.12,2023-08-31 04:00:00,84845
6190045.0,120.9326,121.01,120.93,121.69,120.09,2023-09-01 04:00:00,78911
11089638.0,123.3549,122.44,123.98,124.28,121.18,2023-09-05 04:00:00,142282
8728483.0,123.8818,123.06,124.33,124.58,122.73,2023-09-06 04:00:00,93777
11864401.0,124.8245,123.83,125.09,125.96,122.5944,2023-09-07 04:00:00,130997
10608171.0,125.8586,124.8,126.32,126.69,124.3475,2023-09-08 04:00:00,124666
22155564.0,124.4169,127.02,126.71,127.415,124.72,2023-09-11 04:00:00,234451
68605745.0,110.5555,112.08,109.61,113.3,107.3,2023-09-12 04:00:00,647158
27170953.0,111.3997,108.32,111.84,112.94,108.2,2023-09-13 04:00:00,267131
19849654.0,114.0276,113.5,113.66,115.14,111.95,2023-09-14 04:00:00,191215
23215012.0,113.9134,114.19,113.91,115.2,112.5,2023-09-15 04:00:00,173731
11744057.0,112.6524,113.42,112.21,114.465,111.58,2023-09-18 04:00:00,127127
9536119.0,112.5794,112.475,112.77,113.74,111.71,2023-09-19 04:00:00,95899
8779955.0,113.5269,112.81,112.87,114.6953,112.46,2023-09-20 04:00:00,98810
12653515.0,110.3804,111.51,109.43,112.5,109.331,2023-09-21 04:00:00,145935
11152050.0,109.3841,109.99,109.03,110.6,108.51,2023-09-22 04:00:00,125316
8410012.0,108.0399,108.45,108.3,108.65,107.5,2023-09-25 04:00:00,94839
13209049.0,105.1036,107.14,104.88,107.4,104.31,2023-09-26 04:00:00,151140
8916439.0,104.2981,105.0,104.62,105.2768,103.35,2023-09-27 04:00:00,107881
7373621.0,105.6914,104.03,106.15,106.6,103.27,2023-09-28 04:00:00,90336
7299109.0,106.0141,107.11,105.92,107.365,105.38,2023-09-29 04:00:00,81093
5963457.0,106.1739,105.81,106.71,106.7347,105.29,2023-10-02 04:00:00,73769
8783327.0,104.5561,106.42,104.52,106.5,103.54,2023-10-03 04:00:00,101540
8842650.0,106.524,104.96,107.08,107.3,104.5,2023-10-04 04:00:00,92306
7651479.0,107.7509,106.97,108.35,108.44,106.185,2023-10-05 04:00:00,84726
8246950.0,109.6757,107.93,109.96,110.53,107.58,2023-10-06 04:00:00,101781
6012363.0,110.2455,110.75,110.32,110.97,109.47,2023-10-09 04:00:00,75343
6910436.0,110.1596,110.21,109.71,111.06,109.62,2023-10-10 04:00:00,84785
5641686.0,109.5238,109.51,109.64,110.059,108.83,2023-10-11 04:00:00,68746
6598533.0,109.7011,109.95,109.11,110.92,108.88,2023-10-12 04:00:00,85504
5882175.0,108.3181,109.19,108.25,109.51,107.79,2023-10-13 04:00:00,78084
5487985.0,108.8651,108.95,108.71,109.59,108.3116,2023-10-16 04:00:00,71601
